Nota;HaQuantoTempo;TipoRefeicao;Preco;Comentario;Comida;Serviço;Ambiente;Barulho;TamGrupo;Espera;PratosRecomendados;Estacionamento;Acessibilidade;Assento;Evento
4;3 semanas atrás;Café da manhã;R$ 40–60;"Fui hoje, domingo, por volta de 09h da manhã já estava com fila para pegar a comida e depois outra fila para a bebida. Deixando claro que o próprio bairro da liberdade estava uma loucura!!!A comida é maravilhosa, tanto o que provei de salgado, que foi um quiche de alho poró (só estava um pouco frio), o croissant de banana com Nutella e o New York Roll também de Nutella, estavam divinos!!!Para beber pedi um Capuccino, que não é muita coisa, não pediria de novo.O lugar é pequeno pela quantidade de pessoas circulando, tanto no térreo quanto no 1° andar. Não cheguei a ir no 2º, achei um cantinho no balcão e fiquei por lá mesmo, estava impossível se mexer com a bandeja com os alimentos e a bebida.Os atendentes parece que estão estressados, de ""saco cheio"" de tanta gente e tanta informação pra dar, e não achei que atendem com simpatia, são sempre secos, desde quem me atendeu na fila da comida, da bebida, do caixa e do balcão que fica do lado de fora.Eu voltaria sim, mas tentaria um dia mais tranquilo para poder escolher as coisas com mais calma, sem pressão de fila, e encontrar um lugar para comer em paz.";5;3;4;Nível moderado de barulho;1 pessoa, 2 pessoas;;;;;;
5;3 semanas atrás;Outro;R$ 20–40;A comida é incrível, mas erraram no sabor da minha choux cream e do folhado da minha sobrinha. Considerando que o local estava lotado e demoramos para encontrar um lugar para fazer a refeição, foi dificil retornar ao balcão para solicitar a troca pelos sabores corretos. O preço está dentro do praticado. Dê preferência para ir durante a semana ou bem cedo (fica muito cheio aos sábados).;5;4;4;Nível muito alto de barulho, difícil de ouvir;2 pessoas;;;;;;
5;2 meses atrás;Outro;R$ 40–60;Incrível!!!Visitamos a 89 em uma sexta por volta das 18:00, não sei se foi sorte, ou o horário, mas estava “tranquilo”. Sem fila para entrar, sem fila para pedir a comida, sem fila para pedir a bebida! Somente para pedir o NY rolls estava mais movimentado, mas era mais a “confusão” de quem entrava e saía, do que de fato de quem estava pedindo.Tem muitas opções, muitas mesmo! E todas de comer com os olhos! Para um nível São Paulo, no coração da Liberdade, e pela qualidade oferecida, achei os valores pagáveis!Tudo o que pedimos estavam extremamente deliciosos. Destaco o choux de baunilha, que realmente é feito com fava de baunilha, uma delícia, o melhor que comi, não deixe de pedir!! Nas fotos não aparece, mas pedimos um sanduíche de rosbife que estava incrível!Sou a pessoa que foge de filas, se estivesse cheio para entrar, com certeza não iria, e pelo o que já pesquisei, fim de semana é bem comum estar lotado, então, vá durante a semana se tiver tempo hábil para isso.Destaco o atendimento de TODOS os funcionários, a que nos atendeu para pedir comida, o rapaz que nos atendeu nas bebidas a moça do caixa, todos muito simpáticos e cordiais!Vale super a visita, ainda mais pela qualidade oferecida!;5;5;5;;De 3 a 4 pessoas;;;;;;
2;3 semanas atrás;Outro;R$ 40–60;Vitrine lindaaa, você olha e quer comer tudooooo !! Porém fake news, o sabor é muito pesado e gorduroso, pura gordura hidrogenada! Que decepção! Pedido torta de pistache, torta cocada de nuts e banofe. Caro, bonito demais e totalmente sem sabor, pesado e gorduroso!;2;4;4;Nível moderado de barulho;;Sem espera;;;;;
5;3 meses atrás;Café da manhã;R$ 80–100;Meu lugar favorito da Liba, tem muita fila mas o segredo é chegar cedo, já que ele abre antes do que o resto do comércio local.Se conseguir ir em pelo menos 2 pessoas, uma fica na fila dos salgados/doces e outra na fila das bebidas.Não possui cardápio, por isso é importante combinar antes o que quer pegar, mas tenha certeza de que não importa o que escolher, vai ser uma boa experiência. Além da apresentação linda, tudo é delicioso!Meus favoritos são o Niguiri Sando Salmão Spicy, feito com a massa folheada deles que derrete na boca, e a casinha do Totoro -  Choco Ganache House, que na época do natal vira a casinha do bonequinho de gengibre.Também sempre levo o Kabocha, um salgado com queijo, carne e massa de abóbora japonesa, e a Takoxinha, uma coxinha de polvo! Fora os biscoitinhos de farinha de amendoa!;5;5;5;Nível moderado de barulho;;De 10 a 30 min;;;;;
5;um mês atrás;Café da manhã;R$ 40–60;"É a segunda vez que visito, esqueci de avaliar na primeira vez.+ Atedimento ótimo. Pessoal é rapido apesar da loucura e da mulridão de gente. Mesas estavam sempre sendo limpas enquanto estava no local.+ Dessa ultima vez pedi um tost de brie, um bolo de matcha e frutas vermelhas e um cappuccino gelado. Tudo excelente! Destaque para o bolo fofinho, matcha na medida certa e não muito doce. Os preços são de SP, então tem coisas exorbitantes e coisas mais em conta. Tem MUITA variedade. Sempre tem novidades, como o mousse na bola de pokemon.DICAS:- Chegue cedo. Chegamos num domingo, 5 minutos antes de abrir e já tinham  umas 15 pessoas na fila;- Se estiver em mais de uma pessoa, uma vai para a fila da bebida ( que demora um pouquinho para preparar) e outra fica na fila da comida, que é entregue na hora.Considero TOP 5 cafeterias de SP. A qualidade é excelente.";5;5;4;Nível moderado de barulho;;De 10 a 30 min;;;;;
5;4 meses atrás;Outro;R$ 20–40;Lovely Japanese-Style Café in Liberdade 🇯🇵☕89 Coffee is a cozy spot in Praça da Liberdade with a charming Japanese theme that perfectly matches the district’s atmosphere. As someone living in Japan, I found the menu pleasantly good, from the coffee and tea to the cakes and pastries, everything felt “Japanese.”I ordered the butter scotchy coffee, which was very sweet, maybe that’s why I found it way sweeter than what I usually have in Japan. Still, it was delicious, especially if you enjoy sweet drinks. They also offer a wide variety of items like sandwiches, cakes, macarons, cookies, and bread, all beautifully presented.The café was quite crowded when I visited, probably because it’s one of the most popular spots in the area. Overall, it’s a great place to take a short break, enjoy Japanese-style sweets, and soak in the Liberdade vibe. 🍰✨;5;5;5;Nível moderado de barulho;;Sem espera;;;;;
5;3 meses atrás;R$ 40–60;;Fui em um sábado que era feriado, estava lotado como na foto, mas surpreendentemente os atendentes eram rápidos. Achei que de aparência o croissant de salame era pequeno e que não valia 22 reais, (na foto ele já está comido) mas depois de comer vi que é bem recheado e muito gostoso! Um salgado, um doce e uma bebida que estavam deliciosos, deram 49 reais! Me surprendi pois é o padrão mesmo de cafeteria, achei que daria bem mais caro. Realmente a qualidade da comida é excelente. O espaço lá em cima é bem legal, a fila pro pagamento estava enorme mas foi super rápido. Tive uma ótima experiência e voltaria de novo com certeza. Recomendo;5;5;5;Nível moderado de barulho;;;;;;;
4;um mês atrás;R$ 40–60;;Pedi o bolo de melão e me surpreendi. É um dos melhores doces que já comi, macio, cremoso e não é enjoativo. O tiramisù também é bem gostoso, tem um gosto de café bem forte para quem gosta. De bebida, recomendo o butter scotchy, que tem café, leite, caramelo e baunilha - até eu que não curto muito caramelo gostei, não é melado e, por ser gelado, é bastante refrescante. O atendimento é um pouco confuso, por ser um lugar pequeno e apertado. É preciso um pouco de paciência;5;4;5;Nível moderado de barulho;;Até 10 minutos;;;;;
5;Editado 4 meses atrás;R$ 20–40;;Cafeteria diferenciada, comidas feitas com produtos de qualidade e bom gosto. Uma experiência de sabor que não é esquecida!!!! Não há necessidade de indicar algo, tudo lá é delicioso... Mas, eu tenho paixão pelo bombom que parece uma florzinha de cerejeira.🌸 Masssss precisam organizar melhor a forma como os pedidos no balcão são feitos, pois a fila entre vitrine de doces e salgados deixa os recém chegados bastante confusos. E é algo que percebo com recorrência.😉;5;4;4;Nível moderado de barulho;;;;;;;
4;um mês atrás;R$ 40–60;;Tem uma fila quilométrica, mas a comida é muito boa. Já as bebidas não são ruins, porém não oferecem absolutamente nada de diferente.O nome tem uma informação interessante já que 89°C é a temperatura ideal de infusão do café expresso. Considero um lugar que funde um pouco da confeitaria japonesa com a europeia, vale uma visita.;5;4;4;Nível alto de barulho, mas ainda é possível conversar;;De 10 a 30 min;;;;;
5;4 meses atrás;Café da manhã;R$ 20–40;Uma variedade absurda de doces e salgados tudo muito saboroso! Fui em um sábado pela manhã e o lugar estava lotado: fila para entrar e fila para fazer o pedido. Mesmo assim, o atendimento é ágil e rapidamente você é atendido. Vale a visita!;5;5;5;Nível moderado de barulho;Adequado para grupos de todos os tamanhos;;;;;;
5;um mês atrás;Café da manhã;R$ 100–120;Aqui é parada obrigatória quando se está na Liberdade!Comida que te envolve em cada mordida, tanto salgado quanto doce, e cada gole das bebidas magníficas ali disponíveis te leva a outro patamar de sabores.3-4 vezes lá já e contando. Se está em São Paulo, vá nesse café!Mesmo lotado, já que sempre vamos aos finais de semana, o atendimento é rápido e o fluxo em todo o ambiente é propício para isso.Gasto para duas pessoas: de R$100 a R$200, caso queira experimentar uma coisinha de cada (salgado, doce e bebida).;5;5;4;Nível moderado de barulho;;Até 10 minutos;;;;;
5;5 meses atrás;Café da manhã;R$ 60–80;Há uma grande variedade de salgados, doces e bebidas, todos muito saborosos. Entre as cafeterias da região, considero essa a melhor da Liberdade. O local costuma estar bem cheio, com duas filas:  uma para as bebidas e outra para os lanches, mas enquanto espera já dá para escolher ( olhando as vitrines) o que vai pedir. O atendimento é bom, e nas duas vezes em que estive lá, as atendentes foram simpáticas e prestativas. Os doces são deliciosos e as bebidas também. Os preços são um pouco altos, mas a qualidade compensa.;5;5;5;;;;;;;;
4;5 meses atrás;Café da manhã;R$ 60–80;"Um ótimo lugar com variedade de comidas (principalmente doce); acho que senti falta de mais opções salgadas decoradas.É linda a arte dos doces, muito gostoso tb! Mas prepare o bolso porque o preço ê caro, mas vale a pena experimentar, principalmente turistas.Só nao recomendo um que é um potinho de ganache e chocolate de avelã porque é muuuito doce pra comer sozinho kkkkk(Tudo na imagem deu 130 reais)";5;5;4;Nível moderado de barulho;1 pessoa, 2 pessoas, De 3 a 4 pessoas;;;;;;
4;2 meses atrás;R$ 20–40;;Local extremamente agradável, bem servido e com limpeza impecável. Recomendo a todos que estão visitando São Paulo e busquem uma experiência acolhedora. O único ponto negativo é que costuma ficar bastante cheio, então vale a pena chegar cedo para aproveitar melhor o ambiente e o conforto.;5;5;4;;;;;;;;
5;4 meses atrás;R$ 40–60;;Fui conhecer essa cafeteria no coração da liberdade e adorei a experiência. Cheguei por volta de 7:20 e precisei esperar a abertura, já tinha uma pequena fila. Assim que abriu, rapidamente já peguei a fila e fiz o pedido das bebidas e dos salgados. Levou mais ou menos 30 minutos pra eu pegar tudo e sentar pra comer. Encheu rapidamente, então recomendo se atentar ao horário. Gostei muito do capuccino gelado e também do lanche com peito de peru e ovo cozido. Mas senti falta de opções de omelete ou ovo mexido. No geral recomendo o lugar!;5;5;5;Silencioso, fácil de conversar;2 pessoas, De 3 a 4 pessoas;;;;;;
4;8 meses atrás;;;Simplesmente essa foi a cafeteria mais muvucada que eu já vi na vida. Tinha uma fila enorme para escolher os salgados, fila separada para as bebidas e fila para pagar. É realmente uma casa muito lotada! Estive na 89 num domingo e a cafeteria está localizada no coração da Liberdade, bem na praça principal da muvuca da feira de domingo. Obviamente, isso compromete a experiência. Porém, a casa oferece muitas opções de doces e salgados deliciosos que compensam esse desconforto.Experimentei o croissant de niguiri de shimeji com gorgonzola. É uma proposta diferente e achei saboroso (por R$ 23). Também provei o NY Roll de pistache, que estava uma delícia (por R$ 25). Com o café latte, a conta totalizou cerca de R$ 62. Não foi barato. A infraestrutura é ok, mas com mesas muito próximas, distribuídas em dois andares. A vibe é de fast food: os clientes pegam fila e se servem, comem rápido e vão embora. Não é um local para degustar um café intimista com muito papo e encontro entre amigos. A cafeteria tem perfil de ser um pit stop rápido para turistas que estão na Liberdade.Porém, vale pena conhecer a cafeteria pela oferta de salgados e bons doces. Mas acredito que a visita durante um dia de semana possa ser mais agradável e tranquila.;5;4;4;;;;;;;;
5;5 meses atrás;Café da manhã;R$ 60–80;essa cafeteria é bem requisitada na liberdade, fui sábado de manhã bem cedo já estava bem cheia, com fila pra entrar e fazer o pedido, mas não achei demorado, a fila andou rápido, você só precisa saber o que pedir pra não demorar o prox atendimento, minha dica é: quando você entrar, olhar as opções e já grava as que você quer, pra quando for pedir, ser rapidinho.eu pedi uma torrada de presunto parma e queijo de burrata, é uma opção gelada e estava maravilhoso, acompanhado de um capuccino gelado que é meu favorito e um macarrom de maracujá do pikachu, ele simplesmente derretia na boca.tudo uma delícia!eu adorei conhecer, achei a decoração lindíssima e a vitrine deles mt bem recheada, vale super a pena a visita!;5;5;5;Nível moderado de barulho;;Até 10 minutos;;;;;
3;um mês atrás;;;Bom, fui em um dia que o café estava muuuuito cheio, por conta da feirinha da Liberdade. A comida é muito boa, pedimos uns bolinhos e um chocolate quente.Achei meio confuso o sistema de pedidos, não sei se é assim todos os dias, mas tivemos que pegar uma fila para pedir comida e depois outra pra bebida.;5;5;3;;;;;;;;
4;5 meses atrás;Brunch;R$ 40–60;Fui nessa cafeteria recentemente, em uma quinta-feira à tarde, e gostei bastante da experiência em vários aspectos. Experimentei uma empada de frango, uma choux de baunilha e um croissant de chocolate tudo estava muito gostoso!Pontos positivos: o cardápio é variado, os doces têm ótima qualidade e sabor marcante.Pontos a melhorar: estava muito calor dentro da loja, o ar-condicionado parecia não dar conta. Além disso, os banheiros estavam bem sujos, foi impossível usar. Fui com uma bebê e, infelizmente, não havia trocador para poder trocar minha filha.Se em uma quinta-feira à tarde já estava tão cheio e abafado, imagino que no final de semana deve ser quase impossível entrar no local. Se fosse um espaço menos movimentado ou melhor ventilado, com banheiros limpos, acredito que seria uma experiência fantástica.Ainda assim, recomendo para quem quiser provar bons doces, seria bom que esses pontos sejam ajustados;5;3;3;Nível alto de barulho, mas ainda é possível conversar;2 pessoas;;;;;;
5;um mês atrás;Café da manhã;R$ 20–40;It was crowded. Probably because it's Saturday?Anyway, so many cute foods 😍 and not only cute, it really taste yummy 🥰 my daughter and i will come back here again to try other sweets ❤️;5;5;5;Nível moderado de barulho;;Sem espera;;;;;
4;4 meses atrás;;R$ 40–60;Apesar das filas em dias de pico vale a pena a espera! o chocolate italiano é incrível. Tem opção de soda italiana sem açúcar. Tudo feito com muito capricho e delicioso, cafés com sabor e confeitaria bem diversificada;5;4;4;Nível moderado de barulho;;Até 10 minutos;;;;;
5;5 meses atrás;Outro;R$ 40–60;minha cafeteria preferida enquanto estive em SP. tudo que eu pedi foi gostoso, exceto o melon pan… achei super básico e um gosto artificial, sabe? gosto de balinha ice kiss de melão. massssss, todo o resto vale a pena!!!! os salgados são deliciosos, os bolos, tudo! fui 2 vezes durante 7 dias. enfim, voltaria pra SP só por ela. recomendo o roll de calabresa… delicioso!;5;5;3;Nível alto de barulho, mas ainda é possível conversar;;Até 10 minutos;;;;;
5;2 meses atrás;Café da manhã;R$ 40–60;O ambiente é super aconchegante, daquele tipo que dá vontade de sentar sem pressa e aproveitar cada detalhe( não esquece de ir no ultimo andar). O local tem um clima acolhedor, perfeito pra uma pausa no meio do dia.A comida estava simplesmente maravilhosa! Pedi uma torta folheada que estava perfeita — massa leve, crocante, cheia de sabor — e um pão de queijo quentinho, macio.E o cappuccino… maravilhoso! Cremoso, equilibrado, uns dos melhores que já provei.Com certeza um lugar que dá vontade de voltar, e voltarei 💛☕;5;5;5;Silencioso, fácil de conversar;;Até 10 minutos;;;;;
4;6 meses atrás;Café da manhã;R$ 40–60;Tive a oportunidade de visitar a cafeteria em um domingo de manhã e estava bem movimentada. O sistema de atendimento, direciona para que os clientes peguem uma fila para escolher os alimentos e outra fila para as bebidas. Esse forma parece ter sido pensada para agilizar os pedidos, mas acaba gerando mais filas e um certo desconforto.Optei por um croissant com cheddar e um mocha, e ambos estavam deliciosos. No entanto, o ambiente agitado foge um pouco da proposta de uma cafeteria tradicional, onde se espera um espaço tranquilo para comer e conversar. Isso pode impactar a experiência de quem busca um momento mais calmo. Acredito que em dias da semana menos movimentados a atmosfera seja mais agradável.Por outro lado, os doces são realmente impressionantes e a vitrine é de dar água na boca, mostrando o cuidado na elaboração. É um lugar que vale a visita, mas talvez seja melhor escolher um horário menos movimentado para aproveitar ao máximo.;4;4;3;Nível moderado de barulho;;De 10 a 30 min;;;;;
5;3 semanas atrás;;;Gostei de tudo, mas o que eu mais quero elogiar é o cuidado com o meio ambiente. Um exemplo pra todos imitarem: potes de vidro, talheres de madeira... tudo bioecologicamente correto. Parabéns!;5;5;5;;;;;;;;
5;3 meses atrás;Brunch;R$ 20–40;Adorei o atendimento muito simpáticos doces e lanches são muito bonitos gostosos bem e diferente  do normal ... Um ambiente climatizado todo ambiente é limpo e parece bem organizado, pedimos dois 3 doces diferentes e estavam todos deliciosos recomendo .;5;5;5;Nível moderado de barulho;1 pessoa, 2 pessoas, De 3 a 4 pessoas, De 5 a 8 pessoas;;;;;;
5;um mês atrás;Café da manhã;R$ 180–200;Acredito que o espaço poderia ser um pouco mais amplo, tinham pessoas em pé aguardando lugar para sentar, mas de restante tudo muito bom , os doces, salgados muito gostoso mesmo.;5;5;4;Silencioso, fácil de conversar;;;;;;;
4;4 meses atrás;R$ 40–60;;"Gosto das sugestões que os funcionários dão com base no que você quer experimentar, sabem descrever bem e com base nisso, podemos saber se é aquilo que efetivamente queremos.O ambiente não considero tão calmo; não é exatamente o tipo de lugar para sentar e ter um momento 100% tranquilo, ao meu ver. Transmite um pouco da correria de SP.Mas o café gelado compensa qualquer coisa, que delícia! Indispensável para quem aprecia esse tipo de bebida.Os macarons, por outro lado, deixaram a desejar. Pareciam estar há algum tempo na vitrine, o que afetou a textura e o sabor.";4;5;4;Nível alto de barulho, mas ainda é possível conversar;1 pessoa, 2 pessoas, De 3 a 4 pessoas;;;;;;
5;4 meses atrás;Café da manhã;;Gostei bastante e já estou me programando pra voltar!Fui em um sábado de manhã e estava super lotado mas super rolou comer tranquilo. Comidas gostosas de comer com os olhos ✨;5;4;5;;;Até 10 minutos;;;;;
5;2 meses atrás;R$ 80–100;;Chegamos por volta das 8h40, existe uma fila para doces e salgados e outra para bebidas! Atendimento muito rápido, tudo muito delicioso!;5;5;5;Nível moderado de barulho;Adequado para grupos de todos os tamanhos;;;;;;
5;5 meses atrás;Outro;R$ 40–60;Ambiente muito bonito e aconchegante, porém cheio e confuso na hora de fazer o pedido, o cake de oreo não estava muito saboroso, um pouco sem gosto, mas o capuccino gelado estava uma delicia. Adorei a decoração e a proposta da cafeteria, vitrine impecável também... Recomendo;3;4;5;;;;;;;;
5;4 meses atrás;R$ 40–60;;Como eu gosto da 89° se pudesse iria sempre, mas sempre que dá estou lá, essa cafeteria é parada obrigatória na liberdade 🥰As comidas e bebidas são tudo gostosas e bem frescas, apesar de sempre ter fila eu recomendo, pois a variedade de coisas é muito grande e sempre dá pra pedir coisas diferentes tanto doces quanto salgado.O Karê pan é o melhor que já comi na vida 😋;5;5;5;Nível moderado de barulho;;;;;;;
5;2 meses atrás;;;Café “preto e passado” de qualidade, na regiao foi o melhor que tomei. sanduíche de lombo com misô estava bom também, a choux estava Ok, pegamos de matcha para experimentar mas nao somos muitos fãs mas ruim nao estava.;5;5;4;;;;;;;;
5;6 meses atrás;Café da manhã;R$ 120–140;Uma cafeteria bem localizada, com atendimento cordial e opções deliciosas.Chegamos por volta de 09:00 em um sábado e já tinha fila, acredito que aguardamos por uns 10 minutos. Ao entrar a gente pega outra fila para pedir o que comer e depois outra fila para pedir a bebida, mas é super rápido.Um estilo de cafeteria diferenciado, não é aquelas pra ir e sentar na mesa tranquilamente, olhar o cardápio e ir escolhendo com calma, o pessoal já sai pedindo tudo de uma vez pra não ter que voltar na fila novamente. Eu já fui de semana e achei um pouco mais tranquilo. Mas vale super a pena, tudo muito delicioso.;5;5;5;Nível alto de barulho, mas ainda é possível conversar;;;;;;Área de refeições coberta;
5;3 meses atrás;Café da manhã;R$ 60–80;Excelente! Muitas opções no cardápio/vitrine e tudo muito saboroso. Apesar de ter fila o atendimento é muito rápido e os atendentes pacientes, educados e simpáticos! Local limpo e super agradável. Super indico!;5;5;5;Silencioso, fácil de conversar;;Até 10 minutos;;;;;
5;7 meses atrás;R$ 40–60;;Costuma ser beeeeem cheia e bem concorrida, mas vale o hype! Não consegui provar tantas coisas, mas tenho a impressão que tudo é muito bem feito! Pedimos um café, impecável, inclusive. Além do café, provamos a choux cream de matcha e uma generosa fatia de uma torta de amendoim. Quero voltar mais vezes!;5;5;5;Silencioso, fácil de conversar;De 3 a 4 pessoas;;;;;;
4;3 meses atrás;;;"Acho essa cafeteria diferenciada por seus doces e salgados “estilosos”, mas, na minha opinião, superestimada… os sanduíches são bonitos, os doces, bonitos, mas falta um plus, um gosto especial e marcante, pelo preço que é cobrado. Dou um exemplo: o tiramissú estava sem gosto e muito fluido; faltou algo mais cremoso e encorpado. E o sistema de pedir em um lugar, pegar em outro, bebida em outro… cansa.";3;3;4;;;;;;;;
4;6 meses atrás;R$ 60–80;;"Basicamente uma cafeteira hypada, vale a pena?Se você estiver passeando pela liberdade, e nunca foi, eu recomendo conhecer sim, mas não é um rolê de sempre que eu particularmente iria.Basicamente um café ""superfaturado""e hypada, mas eu recomendo. Tudo que comemos estava gostoso, (exceto o bolo de Oreo que eu achei nada demais) mas tinha bastante fila e estava bem cheio.";4;4;4;;Adequado para grupos de todos os tamanhos;De 30 a 60 min;;;;;
2;3 meses atrás;Café da manhã;R$ 180–200;Pode parecer bem estereotipado meu comentário.Pode ser o procedimento generalizado de culturas asiáticas ou por ser capital e cidade grande. Achei uma logística horrível. A fila de atendimento é em frente a vitrine, isso atrapalha a escolha do pedido.Os cafés e a torta de matcha foram sem graça...;4;3;4;Nível moderado de barulho;;Até 10 minutos;;;;;
5;3 meses atrás;Brunch;R$ 20–40;Um lugar sem erro é a 89, sobremesas e salgados deliciosos. Atendimento ótimo,  apesar de muito movimento é tudo bem rápido. Fui 3 vezes durante a viagem 🥰🥰❤️;5;5;5;;;Sem espera;;;;;
5;9 meses atrás;Brunch;R$ 40–60;Fui com uma amiga em uma terça-feira e era por volta das 11:00, estava com um volume normal de pessoas. O ambiente é muito bonito e acolhedor, sentamos no segundo andar que acaba ficando mais vazio do que o primeiro, trazendo um pouco de privacidade.A respeito da comida, eu pedi um croissant de atum e ela de salame, ambos saborosos e um folhado extremamente macio e saboroso, mesmo sabendo que é mais gorduroso por conta do preparo, não fica gorduroso na mão, igual outros que já comi! O de atum me surpreendeu demais demais!Além disso pedi um new york roll de nutella e ela um donuts de açúcar e canela, amamos também! O NYroll é bem recheado e o folhado uma delícia e ela gostou muito da massa do donuts.Ambas pediram soda italiana, aqui foi decepcionante kkk tinha mais água com gás do que essência, então foi bem chocho, nos arrependemos de ter pego, teríamos trocado por cafe, mesmo que se tornasse uma segunda dose de café no dia kkk pq café é café!Realmente, os pedidos são feitos por etapa:1ª fila: Pede o que vai comer2ª fila: Pede o que vai beberFora isso, nossa experiência foi muito agradável, e sem dúvidas voltaria, mas só durante a semana mesmo pra conseguir aproveitar a experiência sem estresse kkk de final de semana deve ser UÓ, pq o ambiente não é tão amplo assim e a parte inicial da cafeteria é curta, então fica lotação máxima em segundos.;5;5;5;Silencioso, fácil de conversar;;Sem espera;;;;;
5;4 meses atrás;R$ 60–80;;A dinâmica deles não é muito prática, mas funciona pro tanto de clientes que eles atendem por dia! Mas tudo o que comemos lá é maravilhoso!!!;5;3;3;;2 pessoas;De 10 a 30 min;;;;;
5;6 meses atrás;Outro;R$ 60–80;Lugar bonito apesar de estar sempre lotado, uma variedade de comidas, muitas opções de doces. Já fizemos algumas visitas e ja experimentamos várias sobremesas, se for uma primeira visita recomendo o croassant de mascarpone com morango, sobremesa leve e gostosa. Mas todas são muito bem feitas, por ser um lugar bastante conhecido provavelmente terá uma fila, mas vale a espera;5;5;5;Nível moderado de barulho;;De 10 a 30 min;;;;;
