Nota;HaQuantoTempo;TipoRefeicao;Preco;Comentario;Comida;Serviço;Ambiente;Barulho;TamGrupo;Espera;PratosRecomendados;Estacionamento;Acessibilidade;Assento;Evento
4;5 meses atrás;Café da manhã;R$ 80–100;Muito demorado a fila pra entrar aos domingos de manhã! Doces maravilhosos! Perfeito! Ambiente agradável! Atendimento muito bom!!- Fila do caixa enorme e demorada e pra pedir e pegar o pedido também!;5;4;5;;;De 30 a 60 min;;;;;
5;Editado 3 meses atrás;;;Fui em dois dias, no sábado e domingo. Os dois dias muito cheios, mas no domingo consegui sentar. O cardápio chama atenção pelo visual, mas também pelo sabor. O lanche de frango defumado é muito gostoso. O crepe com cobertura de chocolate com um pretezel pequeno no topo é sensacional. Faço ressalva no capuccino gelado, muito gelo pouca bebida e o chantili com um gosto diferente, parecia velho. Sugiro não ir nesses dias. Já passei em frente durante a semana, que é mais tranquilo e da pra levar a familiar e curtir bastante.#dia 23.12# vazio, consegui lugar pra sentar e provei a coxinha de shimeji, super recomendo. O cookie de chocolate muito doce e pouco crocante (*padrão?). E por último o lanche de frango com tomate e queijo é perfeito.;5;5;5;;;;;;;;
3;6 meses atrás;;;Tudo tem uma cara ótima na vitrine, mas cuidado! Na vitrine havia uma banoffee linda, mas quado fui comer, não havia nada de banoffee, nem no sabor nem na textura, parecia mais com um bolo de aveia com chantili, nao encontrei o doce de leite, não encontrei nem a banana, ou seja, não era uma banofeee, e além disso era muito ruim. Pedi um chocolate gelado, esse estava bom. A decepção maior foi no pagamento. Tenho sempre o hábito de pedir para emitir a nota fiscal e quando fui conferir os itens após o pagamento, bingo!!!! Estavam me cobrando 24,00 a mais por um item que eu nao consumi, voltei no caixa, chamei a supervisora e ela prontamente me devolveu a diferença em dinheiro e pediu desculpas.;2;2;2;;;;;;;;
5;9 meses atrás;Café da manhã;R$ 60–80;Muito cheio quando fui tomar café da manhã por volta das 8-9h, mas muito gostoso, valeu muito a pena. A fila não demorou muito e o pedido tbm ficou pronto rápido. E ainda tinha lugar pra sentar, não precisei segurar mesa. Tudo muito delicioso, só os bolos que minhas amigas compraram não gostei tanto. Meu pedido estava perfeito: New York roll que nem aguentei comer na hora, chocolate italiano (muuuito cremoso) com marshmallow e sanduíche de atum empanado com purê e queijo (tinha um nome japonês mas não me lembro);5;4;4;;De 3 a 4 pessoas;Sem espera;;;;;
4;2 meses atrás;;R$ 80–100;Um local com doces e salgados únicos, uma experiência que deve ser feita uma vez, valores um pouco superfaturados, porém valeu a pena pela experiência.;4;4;4;Nível alto de barulho, mas ainda é possível conversar;;;;;;;
5;8 meses atrás;R$ 60–80;;"Fui com meu namorado domingo pela manhã. Tem fila para entrar e para fazer o pedido, mas nada que leve horas.Pedimos o chocolate quente e o chocolate italiano, são bons, mas levam chocolate meio amargo. O italiano é denso como chocilate derretido e vem num copo comestível. Também pedimos os itens das fotos.Os sabores são bem suaves, então se você gosta de coisas com bastante açúcar, não recomendo os itens que pedi.A torta de banana é um pouco seca e tem o sabor de banana beeem suave; o croissant de amendoas é muito bom, mas de novo, tem sabor leve; o choux cream é bem gostosinho e suuuper recheado, o creme é doce sem ser enjoativo (peguei o de vanilla); o tost de parma é bem saboroso, pegaria de novo; não lembro o valor do cinnamom de pistache, mas o sabor de chocolate branco é mais marcante que o pistache; e o katsu sando de milanesa suína... meu deus! Que coisa mais gostosa! Comeria sempre se possível.Os funcionários são simpáticos e solícitos, oferecem um bom atendimento e tentam manter o ambiente limpo e organizado.Pontos negativos, só tem um banheiro e é uma luta pra usar ele, pois a fila é enorme.Não é acessível para pessoas com carrinho de bebê, locomoção reduzida ou pcd visual sem acompanhante.";5;5;5;Nível moderado de barulho;De 5 a 8 pessoas;;;;;;
5;3 meses atrás;Café da manhã;R$ 40–60;Eu amei! Vale super a pena! Custo acessível, ambiente agradável, comida deliciosa! Melhor cafeteria da Liberdade.;5;5;5;Nível moderado de barulho;De 3 a 4 pessoas;;;;;;
5;6 meses atrás;;;O que falar da 89ºC?Todos os finais de semana estou na Liberdade e se eu não comer uma coxinha de F. Catupiry de nada valeu.Tem fila prá entrar, prá escolher o produto, para pagar temmmm... Mas vale muito a pena a experiência.Não sou fã dos doces apesar de parecerem jóias, por não terem o adocicado que eu gosto.Mas vale a pena provar!;5;5;5;;;;;;;;
5;um mês atrás;R$ 40–60;;Fui turistar em SP, e o primeiro lugar que fui conhecer foi a 89!! Comida muito saborosa, tudo muito bom. O único detalhe é que vive cheio, mas vale a pena a experiência.;5;4;4;Nível moderado de barulho;;Até 10 minutos;;;;;
3;um mês atrás;Café da manhã;R$ 60–80;Vale a experiência, mas se prepare para ser mal atendido, ficar em filas, comer sentado se conseguir lugar.;5;3;5;Nível alto de barulho, mas ainda é possível conversar;;;;;;;
5;2 meses atrás;R$ 120–140;;Muita coisa que tem lá não encontra em outro lugar .Fantástico , tudo bem preparado .E de dar água na boca , vale muito a pena conhecer;5;5;5;Nível moderado de barulho;Adequado para grupos de todos os tamanhos;;;;;;
4;um mês atrás;R$ 40–60;;Já foi melhor... Gostava muito da coxinha de shimeji mas ela esta mais massuda e com menos recheio, os bolos estão sem gosto... Triste. Os atendentes sao muito educados e solícitos. Tem que ir em dia de semana para ter paz para aproveitar melhor.;4;5;4;Nível alto de barulho, mas ainda é possível conversar;2 pessoas;;;;;;
5;8 meses atrás;R$ 20–40;;A 89  é uma daquelas cafeterias hypadas que a gente vai com o pé atrás, achando que pode ser só mais uma... mas que surpresa maravilhosa! Pedi o choux cream e fui imediatamente transportada para o Japão, mesma textura, mesmo sabor, uma verdadeira explosão de nostalgia. Foi, sem dúvidas, o mais perfeito que já comi.Apesar da fama e do movimento, o atendimento foi super ágil: esperei no máximo 2 minutos na fila. Vale cada minuto e cada mordida. Recomendo demais!;5;5;5;Nível alto de barulho, mas ainda é possível conversar;2 pessoas;;;;;;
5;10 meses atrás;Refeição no local;Café da manhã;Resumo: recomendadíssimo pra tomar um café com um lanchinho.Excelente local pra tomar café da manhã ou fazer um lanchinho na liberdade. Recomendo particularmente o Karê pan (se quiser algo salgado) e o Choux de matcha (se quiser algo doce). Mas tudo que eu comi até hoje lá estava ótimo.Pra quem realmente gosta de café (sem açucar), as bebidas de café são ótimas, inclusive os básicos drip e espresso.O local em si é arrumadinho, bonito, mas nada extraordinário. Vale ressaltar que todos os funcionarios são ótimos e bem educados, as mesas estão sempre limpas e tudo funciona de forma ágil. O esquema de retirar comidas e bebidas é um pouco confuso e mal organizado.E não é barato, você vai gastar, no mínimo, R$25~30 pra tomar um café e um salgado ou doce.Ainda assim, vale super a pena mesmo se estiver um pouco cheio.;5;4;4;;;;Bakery, Doughnuts, Japanese Drip Coffee, Rolls, Kare Pan E Choux Cream, Choux Cream Custard;;Muitas escadas, não é um lugar pra sentar e comer se você tiver problemas de acessibilidade.;;
4;4 meses atrás;;;A comida é ótima e os preços ok, mas o lugar é bem cheio, o que prejudica um pouco a experiência, eles não controlam lotação, só deixam as pessoas entrar 😂;5;4;4;;;;;;;;
2;5 meses atrás;Outro;;Primeira vez, não volto mais. Não entendo pq é tão cheio. O lugar desorganizado, confuso pra fazer o pedido e ainda te tratam mal quando vc entra na fila errada. São Paulo é grande demais com muitas opções pra passar por essa humilhação por um café. Comida bonita mas não é gostosa. Nada especial.;1;1;1;;1 pessoa;;;;;;
5;3 meses atrás;Brunch;R$ 40–60;Doces e salgados fantásticos.... variedades que até dificulta a escolha...o ambiente é sempre cheio nos finais de semana. Difícil pedir os itens e achar lugar para comer no interior da loja, mas com paciência vale a pena. Doces 25,00 .... opções veganas.O atendimento é devagar... devido a quantidade de gente...;5;3;4;Nível alto de barulho, mas ainda é possível conversar;;De 10 a 30 min;;;;;
3;8 meses atrás;R$ 60–80;;Fui na hora que abriu, já tinha fila pra entrar, uma filinha pra pegar o doce ou salgado e outra pra bebidas. O atendimento foi bom e até rápido para o tanto de gente. Pedi dois capuccinos e o sanduíche com salmão defumado com queijo de búfala. O sanduíche estava muito bom, capuccino nada demais (só um café superfaturado) No geral, sinceramente, não vale a visita. Cafeteria muito hypada da internet. A comida com certeza é boa, mas pra mim não vale o preço e a fila de espera. Tem diversas outras cafeterias ao lado que dão uma experiência parecida.;4;5;3;;;;;;;;
4;10 meses atrás;Refeição no local;Jantar;Fomos numa segunda-feira, então filas do lado de fora, como certos comentários salientam, não foram um problema. Havia, sim, muita gente dentro da loja. De duas das três vezes que fomos, as mesas estavam todas ocupadas.Achei a loja bonita e os atendentes foram cordiais.Nas visitas comi minipizza, croissant, coxinha e o Choco Ganache, que pra mim foi o mais fabuloso de todos.Minha amiga experimentou cone de nutella, Frappé de Matchá, o New York Roll de pistache e um sanduíche de carne com misso, que foi o que ela mais gostou.Achei as opções de doces mais legais e variadas do que as de salgados.;4;5;5;;;;;;;;
4;5 meses atrás;R$ 20–40;;A torta de frutas vermelhas é maravilhosa! Infelizmente a bebida demorou quase meia hora para sair, pois o atendimento não fez o pedido e quando ficou pronta estava horrível... super amarga!;3;3;4;Nível moderado de barulho;;;;;;;
5;7 meses atrás;R$ 20–40;;Cafeteria e confeitaria incrível! Embora sempre muito cheia, o atendimento é rápido e de muita qualidade. Comprei uns biscoitos para presentear e uma bebida incrível (eu me esqueci o nome agora). Se vai até o bairro Liberdade, o 89°C Coffee Station é parada obrigatória!;5;5;5;Nível alto de barulho, mas ainda é possível conversar;;;;;;;
5;8 meses atrás;R$ 40–60;;Apesar do movimento intenso nos fins de semana, o espaço é amplo e o atendimento surpreende pela agilidade. A comida é ok, nada muito memorável. Pedi um folhado de três queijos que veio bem gorduroso. Em compensação, o café é muito bom, e o cinnamon roll de pistache é simplesmente delicioso, sempre peço! O grande destaque da casa sem dúvida sao os doces, tem uma variedade enorme e capricho na execução. Vale muito a visita.;4;5;4;;;;;;;;
4;2 semanas atrás;;;Fui no dia 08/03/2026, por volta das 12h30. O lanche estava muito bom, bem preparado e saboroso. Porém, achei o atendimento da moça do café um pouco estranho naquele momento, como se estivesse procurando algum motivo para discutir. Pode ter sido apenas um dia mais estressante, mas achei o atendimento pouco cordial. No geral, o lanche e o café foram ótimos.;5;3;5;;;;;;;;
4;um mês atrás;R$ 20–40;;Tem uma variedade incrível de comidas. Único problema é que fica muito cheio.;5;5;5;;;;;;;Lugares no balcão;
5;Editado um ano atrás;Refeição no local;Café da manhã;Essa cafeteria na Liberdade é simplesmente incrível! O ambiente é acolhedor, com uma decoração charmosa e muito bem cuidada, além de ser impecavelmente limpo, o que faz toda a diferença. O espaço é ideal tanto para um café tranquilo quanto para uma pausa com amigos ou até mesmo para quem gosta de trabalhar em um lugar agradável.O cardápio é um destaque à parte, oferecendo uma grande variedade de opções: doces, salgados, cafés, chás e muito mais. Cada item é preparado com evidente atenção à qualidade e aos detalhes, garantindo sabores que surpreendem. Seja para quem adora um café especial, um chá aromático ou um doce irresistível, aqui você encontra algo que agrada a todos os gostos.O atendimento é outro ponto forte. A equipe é super atenciosa e eficiente, sempre disposta a ajudar na escolha do que melhor combina com seu momento. Você faz o pedido e eles preparam tudo com capricho e agilidade, garantindo uma experiência impecável do início ao fim.Por ser tão especial, a cafeteria é muito procurada, então a dica é chegar cedo para evitar filas. A qualidade e o ambiente acolhedor fazem dela um verdadeiro sucesso, e a alta demanda é apenas reflexo disso.Na região, há outras opções, mas nenhuma se compara a esta. É, sem dúvida, a melhor da área, e merece ser visitada por quem valoriza um bom café em um espaço diferenciado. Recomendo de olhos fechados!03/11/2024;5;5;5;;;;;;;;
5;8 meses atrás;R$ 40–60;;Gostei demais da 89! Tem um fluxo muito grande de pessoas, mas ainda assim o atendimento consegue ser muito organizado e de qualidade, facilitado pelo pager (você pega um dispositivo que avisa quando seu pedido fica pronto, dessa forma pode se acomodar na mesa com tranquilidade). Funcionários simpáticos, comida de qualidade com preço justo e ambiente muito agradável.Tem vários doces finos e personalizados e um cardápio muito vasto também.;5;5;4;Nível moderado de barulho;;De 10 a 30 min;;;;;
4;5 meses atrás;;;Ambiente no térreo e entrada meio cheio e caótico, mas no fundo e no andar superior é mais tranquilo.Experimentei um sorvete misto de matcha e baunilha no croissant (18 reais) e achei diferente, gostoso, mas não surpreendente, além de ser pouco doce.;4;5;5;;;;;;;;
5;um mês atrás;Brunch;R$ 120–140;Mesmo cheio o atendimento é rápido e eficiente, tudo que eu peço nessa cafeteria é gostoso. Adoro os NY Rolls enfeitados fofinhos mas todos uma delícia.;5;5;5;Nível moderado de barulho;;Até 10 minutos;;;;;
5;7 meses atrás;R$ 20–40;;Cara, o roll de pistache é dos DEUSES! Vale a pena. É grande e dividimos em duas pessoas. Meu sobrinho comprou o de brigadeiro e estava bem gostoso também! A parte boa é que dá para comprar os rolls do lado de fora (sem ter que pegar aquele vuco vuco de dentro do restaurante).Obs: voltamos depois pra “almoçar”. Nada de muito bom nos lanches, mas o roll vale muito, muito a pena.;5;2;4;;;Sem espera;;;;;
4;11 meses atrás;R$ 20–40;;A 89 coffee foi minha cafeteria favorita durante muito tempo. Devo já ter ido na cafeteria pelo menos umas 20x kkkk.O atendimento é ótimo, mesmo com muitos clientes, os atendentes tentam te dar toda assistência.MUITA variedade de comida, não existe outra cafeteria com tanta variedade de doces e salgados, além de doces temáticos, salgados e sanduíches asiáticos e cafés de ótimo sabor e preparo. Além disso, estão sempre renovando com doces e salgados novos que talvez apelas lá tenha essa opção para comer.O preço, comparado com outras padarias/cafeterias, é muito bom e eles aceitam Ticket/Alelo/Sodexo (vale refeição).O meu único porém é que comecei a deixar de ir infelizmente pela quantidade de pessoas e o local. A liberdade está cada vez mais cheia e por isso há um incomodo para ir a cafeteria.Recomendo muito o KarePan e a torta de nutella com morango (que as vezes pode estar em falta pela grande procura).;5;5;3;;;;Croissants E Choux Creams Diversos;;;;
5;11 meses atrás;Refeição no local;Café da manhã;Fomos no domingo pela manhã, tinha fila para entrar, porém durou no máximo uns 10 minutos. O problema foi la dentro, onde precisamos escolher rapidamente o que queremos de comida e não pensamos direito 🥲 Recomendo ja ir com o cardápio visto e ja saber o que quer comer kk. As comidas são bem gostosas e o preço condiz com o local e a fama que o café tem!Os doces são um show a parte, bem bonitos! E os atendentes foram queridos por mais que o atendimento tenha sido na pressa.;5;5;4;;;;;;;;
5;um ano atrás;Refeição no local;Café da manhã;Cafeteria super famosa na Liberdade, está sempre cheia, mas o atendimento é rápido e gentil. Conta com uma variedade enorme de doces, bebidas e salgados, sendo possível comprar NY rolls pela janela para levar sem entrar e encarar a fila, mas recomendo comer no ambiente - são dois andares com bastante lugar.É difícil escolher dentre as opções, que atendem desde os gostos mais clássicos até as criações mais inusitadas. Escolhi a torta frangipane, que é de cocada com noz caramelizada e estava deliciosa. Uma das que mais sai na casa, o sabor é bem equilibrado e leve, nem muito doce, mas cremosa e crocante.Só que o destaque para mim, que gosto de coisas mais doces, foi o ny roll de cookie recheado de doce de leite. O cookie estava super macio e o chocolate derretia por dentro, além de um toque de flor de sal que fez a diferença. O doce de leite era de qualidade e nunca vi um NY roll tão recheado… recomendo muito!;5;5;4;;;;;;;;
5;6 meses atrás;Brunch;R$ 20–40;89°c é com certeza uma das cafeterias mais aconchegantes e saborosas que eu fui, os preços variam entre 20$ - 39$, vale muito apena, produção nova todo os dias, vc pega uma comanda assim que entra, bastante organizado!;5;4;5;Nível moderado de barulho;;De 30 a 60 min;;;;;
4;um ano atrás;;;RESUMO: Surpreendentemente saboroso e rápido, mas atendimento mediano e cafeteria sempre lotada.EXPERIÊNCIA: Peça primeiro a bebida, porque ela é preparada na hora e demanda mais tempo. Depois de pedir, vá para a fila dos doces e salgados. O problema aqui é a pressão: os atendentes têm pressa e você mal terá tempo de avaliar as opções e os preços do cardápio. Pra mim, isso é um ponto muito negativo. Preferiria que eles limitassem a entrada, ao invés de atender na correria.COMIDA: Tudo maravilhoso. Fiquei surpresa com a diversidade e a qualidade de tudo que pedimos. Pegamos três toasts (parma e búfala), um brownie, um sanduíche, um hot-dog, um cookie, um latte e um chocolate quente. Tudo ficou R$120. O preço assusta, mas não achei caro pela região e pela qualidade. Tudo que provamos era muito saboroso e bem feito. Comeria muito mais, de tão gostoso que era!AMBIENTE: Como não há limitação de entrada, o espaço fica sempre muito cheio. Fomos em um domingo às 9h e conseguimos sentar no balcão com vista para a rua, mas enquanto comíamos, notamos que a cafeteria ficou muito cheia e todas as mesas estavam ocupadas, inclusive com gente comendo em pé. Não há espaço suficiente para a quantidade de pessoas que eles recebem.;5;3;4;;;;;;;;
5;7 meses atrás;R$ 80–100;;Estabelecimento muito confortável e as  comidas sempre bem apresentáveis, Só volto porque sou apaixonado pelo Melon Pan (R$8,50) e a Torta Escocesa do Pica-pau (R$19,90). Os preços são altos mas compensam a qualidade do produto.A grande lotação incomoda e estraga um pouco a experiência mas como é ponto de referência na Liberdade então faz parte. 🚇;5;3;5;Nível alto de barulho, mas ainda é possível conversar;2 pessoas, De 3 a 4 pessoas;;;;;;
3;11 meses atrás;Refeição no local;Café da manhã;1º- Fila do lado de fora2º- Fila para comida3º- Fila pra bebida (a que mais demorou)4º- tem que subir escadas, mesas só no 2º e 3º andar, se tem problemas de locomoção não aconselho, 2º andar é raro ter mesa disponívelNão sei se pelas filas mas croque monsieur estava duro, gelado e com o bacon cruTorrada com manteiga, não vale a pena.Ponto positivo, a tortinha de banana estava muito gostosa.Café normal, porém entornou uma parte de tão cheio que estava com pessoas se esbarrando na escada.Chá de hibisco estava realmente bom;2;4;3;;;;;Estacionamento indisponível;;;
5;7 meses atrás;Café da manhã;R$ 60–80;Espaço: Lindo mas lotado! Uma funcionária me disse que nas férias sempre fica assim. Ok, isso não atrapalhou minha experiência, mas vou voltar num dia mais tranquilo. Muita coisa gostosa principalmente as bebidas.;5;4;4;Nível muito alto de barulho, difícil de ouvir;;;;;;;
4;7 meses atrás;;;89c° Station Coffee Station é um bom lugar na Liberdade, em São Paulo. Recomendo especialmente os seus sanduíches, pois são saborosos, embora eu sugerisse aumentar um pouco a quantidade de molho aplicada neles para realçar ainda mais o sabor.;4;5;2;;;;;;;;
5;5 meses atrás;Brunch;R$ 80–100;O lugar é extremamente cheio aos finais de semana, mas vale muito a experiência. Gostamos bastante.;5;5;5;Nível alto de barulho, mas ainda é possível conversar;;De 10 a 30 min;;;;;
1;3 meses atrás;;;Torta de pistache com blueberry sabor chuchu ou não tem sabor nem do pistache nem do blueberry, mini bolo brownie de chocolate sem sabor de chocolate pura decepção!;1;3;3;;;;;;;;
2;10 meses atrás;;;O kare pan e choux cream são deliciosos.O ambiente é bem apertado, sendo impossível transitar pela cafeteria sem esbarrar em alguém - isso porque fui durante a semana, que é tranquilo. Nos fins de semana deve ser impraticável.O que mais me desapontou foi o serviço: ao sentarmos para comer, constatamos que a soda italiana do meu amigo veio com pouca essência, estava com gosto puro de água com gás. Chamamos uma das atendentes para nos auxiliar e a resposta dela foi: “isso não é comigo, vá na cafeteria pra ver se eles resolvem.”Simplesmente tirou o corpo fora e se negou a ajudar um cliente, como se nem trabalhasse ali. Decepcionante.Pra resumir: preços bons e excelentes preparos, a comida é a melhor parte da experiência.O espaço é compacto, mas isso dá pra relevar. O que mais desapontou foi a displicência e o nível do serviço.;5;1;3;;;;;;;;
4;um ano atrás;;;Eu já estava querendo conhecer essa cafeteria há um tempo. E ela me surpreendeu positivamente.Geralmente ela é bem cheia! Mas, fiquei feliz que consegui entrar. Eu adorei a qualidade e o preço dos produtos oferecidos.Vale a pena lembrar que o sistema deles funciona assim: tem uma fila para escolher o que comer e outra para o que você vai beber.Mas, não é nada que atrapalhe a experiência.O preço justo é outro atrativo! Eu super recomendo 😍👌🏻Ps- o sanduíche de frango grelhado é um absurdo de gostosooo 😋;5;5;5;;;;;;;;
5;um mês atrás;R$ 40–60;;Gostamos muito de conhecer a 89°C Coffee Station. Tem alguns lanches diferenciados.É um local muito movimentado.;4;4;4;;;;;;;;
4;9 meses atrás;Brunch;;"Minha experiência foi boa, achei o doce muito gostoso, café com leite era bom e o que minha amiga pediu eu experimentei e estava delicioso.Em relação à comida, não tenho o que falar nota 10/10.Pontos que precisam de melhoria urgente:Atendimento dos funcionários e melhor organização da fila, pq da forma que vocês operam hoje, a experiência do cliente é horrivel: fila para entrar, fila para pedir o que for comer, fila para pedir o que for beber, fila para pagar, fila para ir ao banheiro, somando todas as filas que eu peguei deu uns 60 minutos só em ""filas"".Atendimento também poderia ser melhor, afinal ficar em tantas filas e ser atendido de qualquer jeito para pagar uma conta cara acaba não valendo muito a pena, visto em comparação com outros lugares do mesmo segmento.";5;4;4;;;;;;;;
5;Editado 5 meses atrás;Brunch;R$ 20–40;Eu adorei conhecer esse lugar. Tudo nas vitrines parecia delicioso e com bons preços ! O que eu pedi tmb estava !Quando voltar a São Paulo, com certeza será uma parada obrigatória !;5;5;5;Nível moderado de barulho;;;;;;;
4;um ano atrás;Refeição no local;Outro;Estive na 89 Coffee Station em um sábado, e como esperado, o local estava lotado. Mesmo com a fila, o atendimento foi rápido e gentil, o que é sempre um ponto positivo. Decidimos experimentar o Japanese Drip Coffee (R$ 16,00), que é coado na Hario V60. O sabor era excelente e a experiência foi enriquecida com as opções de sobremesas.Pedimos a canjica com cobertura de matcha, uma torta de nozes, um chocolate de matcha e um bolinho verde e fofo com recheio de matcha que estava simplesmente divino! Foi uma grata surpresa descobrir que todos esses itens harmonizam tão bem com o café.Recomendo a visita, especialmente para os amantes de café e matcha. Apesar de cheio, o ambiente aconchegante e a qualidade dos produtos fazem valer a pena a espera!;5;4;4;;;;;;;;
5;2 meses atrás;Outro;R$ 20–40;Fiquei namorando por muito tempo pelo Instagram, o New York roll de pistache da 89ºC, até o dia que eu vim pra SP e pude saciar esse desejo rsrsrs;5;5;5;Nível moderado de barulho;;Até 10 minutos;;;;;
4;2 meses atrás;;;Muita gente e o cinamom roll ficou enjoativo de doce após a metade;4;3;3;;;;;;;;
5;11 meses atrás;Refeição no local;Outro;Quem vai a região da Liberdade não pode deixar de conhecer essa cafeteria. Local com muitas opções de doces e salgados maravilhosos. Por isso sugiro que veja o cardápio com antecedência.O ambiente costuma estar sempre cheio e com dificuldade de encontrar lugar, também devido ao grande movimento não se tem tanto suporte dos funcionários sobre os produtos. Os pedidos são feitos de forma muito rápida no balcão, sem muito tempo para decidir dentre todas as opções.;5;4;4;;;;Diversos Sanduíches, Soda Italiana de Maçã Verde;Estacionamento indisponível;;;
5;5 meses atrás;Brunch;R$ 20–40;Excelente local, mas muito muito cheio!Comida boa, café delicioso... vale a pena!;5;4;5;;2 pessoas;De 10 a 30 min;;;;;
5;Editado 7 meses atrás;R$ 40–60;;Apesar de muuuito concorrida a casa , com um pouco de paciência é possível fazer um bom café da manhã ou um lanche rápido com muitas coisas deliciosas, diferentes e em um ambiente muito bom .;5;5;5;Nível moderado de barulho;De 3 a 4 pessoas;;;;;;
2;um ano atrás;Café da manhã;R$ 40–60;Antes de ir à cafeteria eu pesquisei e vi comentários muito bons. Porém, minha experiência não foi boa. Achei extremamente caro (o que é normal, já que é uma cafeteria superfaturada), mas a comida não é nada demais. O item salgado que eu pedi estava ok, porém o bolo e o café que pedi estavam horríveis, senti que joguei meu dinheiro fora. No dia anterior tinha ido na We Coffee e apesar de também ser cara acho que compensou muito mais.;2;3;4;;;;;;;;
5;Editado um ano atrás;Refeição no local;Outro;Por estar bem no miolo da região comercial/turística da Liberdade, encontra-se sempre cheio, mas a logística de atendimento permite que se consiga receber os pedidos sem muita demora.Nas duas vezes em que eu fui, só pedi para comer opções doces e todas estavam muito gostosas (destaco principalmente o short cake de melão e o “leaf”). Para beber, gostei muito do green tea latte que, por ter bastante gosto de chá verde, pode acabar não agradando a todos os paladares. Os preços são justos no contexto de São Paulo e por ser ponto turístico do bairro.;5;5;4;;;;;;;;
