Nota;HaQuantoTempo;TipoRefeicao;Preco;Comentario;Comida;Serviço;Ambiente;Barulho;TamGrupo;Espera;PratosRecomendados;Estacionamento;Acessibilidade;Assento;Evento
2;4 meses atrás;;;Lugar com experiencia mega desagradavel de fila. Pouca gente pra atender, num lugar imenso, que poderia certamente rer serviço de mesa e tornar a experiencia agradavel. Mas não, é igual tirar uma segunda via do rg no poupatempo.;3;1;1;;;;;;;;
5;um mês atrás;R$ 40–60;;Fomos no domingo (22/02) e chegamos por volta das 10h, o local já estava bem cheio e com fila para pegar os doces e salgados mas andou rápido. O croissant de salame é uma delícia e bem recheado de salame e o new york roll de pistache é muito bom também. O cappucino gelado vem em um copo grande e bem gostoso, vale o valor. O único ponto negativo é que por conta da fila, é um pouco difícil de conseguir escolher os salgados, pois quando chegamos de frente deles já fomos chamados para pedir.Pedimos 4 itens salgados e duas bebidas, a conta ficou por volta de R$114.Acredito que vale a experiência, voltaria com certeza :);5;5;4;Nível moderado de barulho;2 pessoas;;;;;;
5;um ano atrás;Refeição no local;Almoço;O Lugar é muito bonito, as comidas além de gostosas, são lindas, os atendentes simpáticos, o lugar super cheio (no sábado), a única coisa que peca, é ter apenas 1 banheiro, e termos que ficar MUITO tempo na fila. De resto vale muito apena a visita. Os preços são ok pra alto, porém a qualidade é equivalente e apresentação também.;5;5;4;;;;;;;;
4;um ano atrás;;;Gostei, porém acho que precisaria melhorar a logística. Uma fila para as bebidas e outra para as comidas. Você vai comer ou beber algo frio.Estava cheio, dia de semana por volta das 10h30.Croissant de mascarpone divino! Porém peguei um new york de pistache ressecado. Vou voltar para provar mais opções.;4;4;5;;;;;;;;
5;um ano atrás;Café da manhã;R$ 40–60;Essa cafeteria você encontra diversidade e muitas coisas diferentes de uma cafeteria comum brasileira. Acho que esse é o charme e diferencial.Se você tiver paciência,vale a pena ir,ela está sempre movimentada e tem de café filtrado a sorvete de matchá, além dos donuts e sobremesas que você come com os olhos,pois o visual e a forma como é produzido muda tudo nesse lugar.O serviço é através da comanda, assim que você entra você a recebe na catraca e faz seu próprio pedido.O espaço tem 3 níveis: o primeiro onde você escolhe suas bebidas como café,matchá , chás e comidas. O segundo tem balcões com vista para rua e mesas para dois a quatro pessoas, além de refrigeradores com opções de bebidas geladas e o terceiro é mais amplo e onde estão localizados os banheiros.Confesso que desejaria que fosse um lugar mais tranquilo e silencioso onde eu pudesse passar mais tempo, mas ele tem o perfil daquela cafeteria que você entra,come, bate um papo e depois vai dar uma volta pelo bairro.Impossível de trabalhar ou ler um livro lá.Mas isso é devido a sua localização que fica quase em frente à saída do metrô e na esquina.Em média o que eu consumo não passa de R$50 reais.Vejo que a Liberdade está ficando pequena para tantos turistas, finais de semanas, feriados e férias.Vocês vão encontrar muitas opções,mas também muita gente circulando pelas ruas.Isso não deixa de ser meu lugar favorito em São Paulo para você se deliciar com inúmeras opções da cultura asiática.;5;5;3;;;;;;;;
4;um ano atrás;Refeição no local;Outro;Fui comer um docinho pós almoço e como sempre estava lotado. O lugar possui dois andares de mesas para sentar, mas mesmo assim é uma batalha. Por fim conseguimos um lugar.Os doces são lindos e chamam muito a atenção. Obviamente escolhi pela aparência. Folha verde era recheada com mousse de chocolate e curd de limão. Estava gostosa, mas nada fascinante.O alien tinha recheio de chocolate e brigadeiro, esse sim estava fantástico.;4;5;3;;;;;;;;
5;um ano atrás;Refeição no local;R$ 20–40;Já fui tantas vezes que perdi a conta! Continua sendo minha opção principal ao ir na Liberdade. Ainda me lembro dos primeiros dias da 89, e ela foi uma baita diferença positiva no bairro na época. Ela continua melhorando seus docinhos, salgados, bebidas etc, e o ambiente continua com um toque que adoro. A cafeteria enche muito, então é sempre bom aparecer cedo para ter lugar disponível.;5;5;5;;;;Bolo de Melão, Choux Cream E Bolinho de Kare, Diversos Sanduíches, Bolo de Morango Com Chantilly;;;;
4;um mês atrás;Brunch;R$ 80–100;Foi uma experiência satisfatória. É uma cafeteria com um cardápio bem diverso e do pouco que eu experimentei, eu gostei bastante. O preço é um pouco salgado e o local é consideravelmente cheio. Dependendo do horário corre risco de não ter mesas disponíveis.;5;4;4;Nível alto de barulho, mas ainda é possível conversar;;;;;;Área de refeições coberta, Lugares no balcão;
5;8 meses atrás;Outro;R$ 60–80;⭐⭐⭐⭐⭐ Café de altíssimo nível com atmosfera criativa e acolhedora!A 89ºC Coffee Station é muito mais do que uma cafeteria: é um espaço onde o café é tratado como arte, e cada detalhe da experiência é cuidadosamente pensado para quem ama sabor, estética e aconchego. Desde a primeira visita, já dá pra perceber que aqui o padrão é outro — elevado, porém acessível.Logo na entrada, o ambiente impressiona: uma mistura harmônica entre minimalismo, design contemporâneo e elementos orientais sutis. Tudo é bonito, funcional e acolhedor. O espaço é relativamente pequeno, mas muito bem organizado. Ideal para quem quer fazer uma pausa, trabalhar um pouco ou simplesmente apreciar um bom café com calma.Agora, vamos ao destaque: o café.A casa trabalha com grãos especiais, moídos na hora, e oferece diversos métodos de preparo: do espresso ao coado no V60, Kalita ou Aeropress. Dá pra perceber que os baristas sabem exatamente o que estão fazendo — são bem treinados, atenciosos e sempre dispostos a explicar os métodos e sugerir opções conforme seu gosto.Experimentei um coado no V60 com grãos etíopes e foi excepcional: aroma frutado, acidez equilibrada e final limpo, como manda o manual dos cafés especiais. O espresso também é excelente — encorpado, doce na medida e com crema consistente.Outro ponto alto são os doces e salgados artesanais. Os croissants são incrivelmente leves e crocantes, com sabor de manteiga de verdade. E o cookie de chocolate com flor de sal é simplesmente viciante — crocante por fora, macio por dentro, e com um equilíbrio perfeito entre o doce e o salgado. Combina maravilhosamente com um flat white.Pontos fortes:✔️ Café de altíssima qualidade, com variedade de métodos e grãos especiais✔️ Atendimento técnico, gentil e apaixonado por café✔️ Doces e salgados impecáveis (com destaque para os croissants e cookies)✔️ Ambiente sofisticado, limpo e confortável✔️ Ideal para café com calma, encontros ou trabalho soloPontos a considerar:O espaço é pequeno e pode ficar cheio em horários de pico, então se busca tranquilidade, tente ir fora dos horários mais movimentados. E os preços são um pouco acima da média — mas completamente justificados pela qualidade da experiência.Conclusão:A 89ºC Coffee Station é um verdadeiro refúgio para amantes de café de verdade. Um lugar onde cada xícara é feita com técnica, carinho e intenção. Já entrou na minha lista de cafeterias favoritas da cidade — e sempre que posso, volto para explorar novos grãos e sabores. Recomendo de olhos fechados!;5;5;5;;2 pessoas;Sem espera;;;;;
4;10 meses atrás;Café da manhã;R$ 20–40;O local é bem localizado, saindo da estação de metrô da linha 1 azul Japão-Liberdade é possível encontrá-lo na próxima esquina do lado direito (saindo da estação). Achei o sistema de pedido de lanches e bebidas um pouco estranho, primeiro você pede um e depois entra na fila pra pedir outro. Para quem quer somente um dos dois é prático, mas acaba sendo passos a mais quando quer os dois. O salgado de folheado de frango com requeijão é bem bom e o latte também, acredito que os dois tenha dado em torno de R$35,00. Bom para conhecer.;5;3;4;;;;;;;;
5;um ano atrás;Refeição no local;Outro;O local é muito legal e diferente. Parece que você está em Nova York. Tem muitas opções de doces, salgados e bebidas. As comidas são saborosas e muito bonitas.Possui várias opções vegetarianas e algumas veganas. A coxinha de shimeji estava muito boa. O chocolate quente italiano também é uma delícia, bem denso e também dá pra comer a casquinha. Estava um pouco amargo, mas com açúcar ficou ótimo.O atendimento é um pouco confuso porque tem várias filas para cada tipo de comida e o espaço dos pedidos é pequeno. Porém os funcionários são muito prestativos. Tem mesas no segundo e terceiro andar.;5;4;5;;;;;;;;
4;2 meses atrás;Brunch;R$ 20–40;"Bom ambiente, um pouco apertado mas limpo.Tenho hábito de provar o choux cream sabor baunilha; que é bem saboroso por sinal. Creme feito com favas de baunilha. O único porém é que o tamanho do produto foi diminuindo ao longo do tempo. Uma pena…Poderiam ter mantido no mínimo o tamanho inicial que era OK, que me satisfazia por um preço justo. Espero que revejam.No mais, o atendimento é OK pelos padrões de hj. Nada de excepcional ! Pois sei que normalmente a visitação no local é bem cheia. Vale ao menos uma visita!";4;4;4;Nível alto de barulho, mas ainda é possível conversar;;;;;;;Nenhum evento especial
5;10 meses atrás;R$ 20–40;;Ambiente maravilhoso, especialmente o último andar, que é mais vazio e silencioso. Pedi um chocolate quente que estava perfeito e um doce delicioso com mousse de chocolate e limão, tudo muito gostoso e bonito (dava dó de comer!). O biscoito de gengibre é muito fofo e saboroso, assim como os macarons, fica até difícil escolher com tantas opções.Verdadeiras obras de arte por todo lado na vitrine, dá vontade de morar na Liberdade só pra experimentar tudo nesse café. Já quero voltar!;5;5;5;Nível moderado de barulho;;Sem espera;;;;;
5;um ano atrás;Refeição no local;Outro;A 89 Coffee Station se localiza bem na saída do metrô da liberdade, onde geralmente ocorre a Feira da Liberdade nos fins de semana. Por conta disso, espere um lugar cheio e com muitas filas, porém em dias de semana isso se ameniza bastante! Fomos numa segunda-feiras às 14h e estava bem tranquilo, não pegamos nenhuma fila e ainda tinha tudo. Existem várias mesas, cadeiras e balcões dispostas pelo estabelecimento, concentradas mais no piso superior.Para entrar na loja você pega uma comanda que será usada para todos os pedidos, basta ir até oo balcão, escolher, entregar a comanda para ser escaneada e fazer seu pedido. Bem prático.Existem diversas opções de salgados, doces e bebidas, porém fomos na intenção de uma sobremesa e optamos pelo Croux Cream e pelo Croissant de Chocolate Belga, estavam deliciosos e bem recheados.Os preços são bem justos pelo que é oferecido, com um custo X benefício excelente!Com certeza é um lugar que vale a pena ir, já estamos programando uma nova visita 😋;5;5;5;;;;Croissants E Choux Creams Diversos;;;;
2;11 meses atrás;Refeição no local;Café da manhã;Experiência decepcionante!A padaria tem fama de ser boa, mas a realidade foi bem diferente. O local é extremamente desorganizado e cheio de filas. Para conseguir tomar um café e comer algo, precisei enfrentar quatro filas diferentes, o que achei um absurdo. Quando finalmente consegui minha bebida, os lanches já estavam frios.Além disso, o sabor deixou a desejar. Pedimos salgados e doces, e nenhum deles foi realmente saboroso. Esperava muito mais pela reputação do lugar, mas a experiência foi frustrante.Infelizmente, não recomendo e não pretendo voltar. A padaria precisa melhorar muito tanto na organização quanto na qualidade dos produtos.;1;1;3;;;;;;;;
1;9 meses atrás;Brunch;R$ 40–60;"Péssima experiência e ainda passei mal.Primeiro, vá sabendo que os preços são bem elevados... Frequento diversas cafeterias em bairros nobres como Higienópólis e Oscar Freire e mesmo assim pago menos.Pedi um café mocha que custou 19,00. No começo, achei que tinham me servido errado, pois não senti gosto nenhum do chocolate. Ao chegar no fim, vi a calda de chocolate no fundo e logo me questionei: Por qual razão não serviram já com uma colher? Depois que experimentei a calda, preferi que fosse assim mesmo, já que tinha um gosto HORRÍVEL.O croissant não é nada demais, nada que justifique o valor de 25 reais. Como eu mencionei, você encontra em outras cafeterias croissants com qualidade bem melhor e valor um pouco inferior.Além de pagar quase 50 reais em um simples lanche, os funcionários são mal educados. O atendente que me entregou o croissant não respondeu meu boa noite, e quando o agradeci pela bandeja, ele respondeu ""PRÓXIMO!!"". Ah, vale ressaltar que você não é servido: você retira os pedidos no balcão.Por fim, o ponto principal: Eu passei MAL depois! Sai pesada e com a sensação de estufamento, além de sentir meu estômago ""revirado"".Tem muitas opções de comida, é um espaço grande, bem climatizado e ""instagramável"", mas não voltaria nessa cafeteria por tudo que aconteceu.Além disso, vale ressaltar que também estava com um amigo e ele também passou mal após comer o lanche de salmão.";1;2;5;;Adequado para grupos de todos os tamanhos;Sem espera;Diversos Sanduíches, Croissant Com Amêndoas;;;;
5;Editado um ano atrás;Refeição no local;Café da manhã;📍Cafeteria localizada bem em frente a saída da estação da Liberdade, com produtos diferenciados e repleta de opções.Tem tanta opção que você nem sabe o que escolher rsrsMas sempre que vou,  procuro optar por algo que gostei muito e algo que nunca provei,  para ir conhecendo e experimentando novos sabores.🥐 O croissant de amêndoas é maravilhoso, tem a massa bem folhada, fresquinha e super macia, uma delícia.Custo: R$ 16,50🥐 O croissant de shimeji com gorgonzola, é bem diferente, porém muito gostoso também e tem um leve toque picante no final, vale a pena experimentar.O Choux de Matchá - quitute de origem francesa, mas que se popularizou no Japão e ganhou adaptações orientais. A massa tem crosta crocante e recheio de Matchá.🌿 Matcha é um chá verde moído do Japão. Literalmente a palavra matcha significa chá em pó. Matcha chá também é um ingrediente de confeitaria no Japão. Também no Ocidente, é usado para fazer smoothies, sorvetes e sobremesas variadas.🍗 A Coxinha de frango é muito gostosa, a massa é fina e eles capricham no recheio.O toast de muçarela de búfala, com tomate cereja, também é muito bom.🥙 O lanche de salmão defumado é maravilhoso.☕ O Café LATTE é bem gostosinho, o suco de laranja é natural e pelo que percebi eles não adicionam água, somente o suco  mesmo.Super recomendo.;5;4;4;;;;;;;;
4;9 meses atrás;R$ 20–40;;Minha experiência no 89°C Coffee Station – Liberdade ☕O espaço é bem amplo, com um ambiente bonito e moderno, mas pode ser um pouco caótico na hora de fazer os pedidos. Há uma fila separada para comidas e outra apenas para bebidas, o que pode causar confusão, principalmente em dias mais movimentados.Estive lá em um sábado e o local estava super lotado, então é bom ir com um pouco de paciência. Por outro lado, o atendimento é surpreendentemente rápido e a equipe é super cordial – ponto positivo para o time, que merece elogios!Recomendo para quem estiver passeando pela região e quiser experimentar um cafezinho diferente ou alguma bebida especial. Só vale destacar que os preços são um pouco elevados, então prepare-se para isso.No geral, acho que vale a pena conhecer o local, principalmente se você curte cafés especiais em ambientes estilosos.;4;4;4;Nível alto de barulho, mas ainda é possível conversar;;De 10 a 30 min;;;;;
4;6 meses atrás;R$ 40–60;;Fui em uma 6ªf a tarde. Tinha fila, mas não é surreal que nem no fim de semana. Andou rápido. Só achei ruim que você precisa decidir só olhando na vitrine enquanto anda na fila.Comi o bolo de blackberry & lemon e estava muito bom!Bebidas você pede em uma fila a parte. Tinha quase nada de fila. Pedi matchá latte, com a troca do leite por leite vegetal (há adição de valor).Tem 2 andares com mesas e consegui sentar no 2º andar sem aguardar.Recomendo conhecer, mas de dia de semana.;5;4;3;Nível alto de barulho, mas ainda é possível conversar;2 pessoas;;;;;;
4;um mês atrás;Café da manhã;R$ 60–80;Eu adoro essa cafeteria, sempre quando estou em São Paulo realizo mais de uma refeição nela. Muitas variedades de doces e salgados. Você faz o pedido no balcão, eles entregam a bandeja com a comida e a bebida, e você escolhe onde sentar. A única coisa que incomoda é a quantidade de pessoas (quase sempre lotado). Os preços são aceitáveis. Só não vou dar 5 estrelas, porque algumas bebidas são bem doces, se tornando enjoativas. Mas vale super a pena visitar a cafeteria.;4;2;4;;;;;;;;
5;8 meses atrás;Café da manhã;R$ 60–80;Adorei o café e os doces, principalmente os doces né, tem muitos doces temáticos de animações que pode despertar muita curiosidade em quem olha. Recomendo a todos os turistas!;5;5;5;Nível moderado de barulho;;Até 10 minutos;;;;;
5;um ano atrás;Refeição no local;Café da manhã;"Eu nunca vou me esquecer de o quão maravilhoso o croassaint de chocolate belga foi na minha vida. Eu ainda penso nele todos os dias.O lugar é maravilhoso, com sobressalva às comidas que são divinas!! Não é um lugar vazio, pelo contrário, você pode ir às 7 horas da manhã de uma quarta-feira que vai ter bastante gente. Porém, esse é aparentemente o único defeito que consigo citar, sendo esse a origem para outros: Acredito que com o grande volume de clientes e trabalho os atendentes acabam sobrecarregados e deixam isso transparecer, mas ainda sim são muito prestativos. Comi de doce, um croassaint de chocolate belga; parte salgada, um kare pan. Tomei um matcha latte para experimentar o chimarrão dos asiáticos pela primeira vez: vai muito bem com coisas salgadas, porém é terrível de acompanhar doces.Experiência linda, o ambiente é agradável, principalmente nos andares de cima. Os preços não chegam nem perto de serem baratos, porém eu achei muito em conta comparado ao que geralmente é cobrado na área.Não vejo a hora de voltar lá!!";5;4;4;;;;Croissants E Choux Creams Diversos;;;;
5;9 meses atrás;Café da manhã;R$ 40–60;O lugar e muito bacana, a fila la dentro e enorme mas anda bem rápido, ao fazer o pedido vc já precisa saber o que pedir pois é bem rápido não dá pra ficar enrolando. Vale muito a pena o croissant  com morangos, é divino assim como a baguete de salame, adorei pretendo voltar e experimentar outras delícias 😋;5;5;5;;;Até 10 minutos;;;;Área de refeições coberta;
5;um ano atrás;Refeição no local;Brunch;Local com muitas opções de doces artesanais e também salgados.Possui um ambiente grande e com muitas mesas, o atendimento apesar de sempre cheio é relativamente rapido.Pedi um Croissant de Chocolate Belga e foi muito bom, o chocolate é suave e não enjoativo.;5;5;5;;;;;;;;
5;11 meses atrás;Refeição no local;Café da manhã;Local é bem cheio nós fins de semana, porém super vale a pena!Atendimento maravilhoso, atendentes super simpáticos e bem pontuais na entrega, quando estava na fila estava prestando a atenção nos processos de atendimento e vi que é extremamente organizado, os funcionários são bem ágeis e demonstraram estar bem leves e tranquilos mesmo com o estabelecimento lotadíssimo, demonstraram autocontrole e alegria em servir. O local é super limpo e a funcionária que limpava as mesas era super ágil e atenciosa.A comida é incrível não tem nem muito o que falar. Os preços são justos e equivalentes.Super recomendo.;5;5;5;;;;Diversos Sanduíches;;;;
5;um ano atrás;Refeição no local;Café da manhã;Já tinha um tempo que eu queria conhecer. Valeu muito a pena. As opções são diversas tanto de doces quanto de salgados e, além de bonitos, são saborosos. As vitrines estão sempre cheias e muito bonitas. Opções de bebidas também bem variada. Achei o preço a cereja do bolo, muito justo por tudo que oferece.O espaço enche bastante, mas foi fácil achar uma mesa estando em duas pessoas. Por conta do volume de pessoas as filas podem ficar confusar e passar com a bandeja pode ser um desafio.Muito fácil o acesso, quase em frente ao metrô.;5;4;4;;;;;;;;
3;um ano atrás;Refeição no local;Outro;Salgados e doces saborosos. Doces menos adocicados que os da confeitaria brasileira, com alguns sabores mais exóticos.Infelizmente como tantos bons lugares na região, fica sempre com muito mais clientes que a capacidade.O serviço é organizado de uma maneira peculiar: uma fila para salgados e doces e uma outra fila para bebidas, da qual você sai com uma senha eletrônica para mais um pouco de espera.Há balcão e mesas nos dois andares superiores para uso livre de quem tem sorte.;5;2;1;;;;Croissants E Choux Creams Diversos;;;;
5;2 anos atrás;Refeição no local;Jantar;Lugar movimentadíssimo, mas com bom atendimento e rápido. Os produtos já estão prontos, basta escolher na vitrine. Os salgados são aquecidos na hora. Tem fila pra pegar a bebida, outra fila para os salgados e mais outra para os doces. São tantas opções que dá vontade de pegar um de cada... Experimentei a focaccia, que estava muito deliciosa e bem servida. Os doces são lindos. O macaron de amora estava muito bom.  Tem dois andares onde podemos sentar e saborear com calma. Muito bom para comer alguma coisa diferente...;4;5;5;;;;;;;;
5;10 meses atrás;Café da manhã;R$ 40–60;Peguei um New York Roll e um sanduíche de copa para levar. Destaque absoluto para o roll de pistache: super recheado e extremamente delicioso! Tudo muito saboroso, valeu muito a pena.;5;5;5;;;Até 10 minutos;;;;;
5;um ano atrás;;;A Padaria é ótima, faz jus as suas avaliações. Tem muita variedade e o preço é justo com o que ofertam, contudo, acredito que os pratos são mais bem apresentados do que tem um gosto bom, a comida é boa, mas acredito que servem mais as pessoas que tem um paladar que gosta de coisas mais leves e pouco doce, principalmente, por ter doces importados. Então não vá buscando opções de doces e salgados comum de padaria, porque esse não é o lugar. Foi uma boa experiência e tem uma boa estrutura e bastante fila como tudo em São Paulo rsrsrs. Recomendo💕;4;5;4;;;;;;;;
5;2 anos atrás;Refeição no local;Outro;As comidas e bebidas são maravilhosas!Conheço a loja desde a inauguração, gosto muito dos produtos da 89!A qualidade dos ingredientes é muito boa, eu amei o novo produto deles: o New York Roll.Eu já comi de outros lugares, mas esse foi o que mais gostei, maravilhoso! Bem recheado, saboroso e a massa crocante, deliciosa!Eu comi o de pistache.Super recomendo!O horário que fui ontem já era tarde e não estavam fazendo bebidas geladas, apenas as quentes. Então peguei um Kombuchá dos refrigeradores, pois estava muito calor e não dava para tomar bebidas quentes. Mas já tomei bebidas geladas em outras visitas e estavam muito boas!Ponto que tem que melhorar é a forma do atendimento e o ambiente: é muito lotado e fica desorganizado o atendimento, um pouco confuso.;5;4;3;;;;;;;;
5;Editado 2 anos atrás;Refeição no local;Café da manhã;Este é definitivamente o lugar perfeito para desfrutar de um delicioso café da manhã ou tarde na Liberdade! Considero-o a melhor cafeteria local, pois a diversidade de opções oferecidas é simplesmente incrível. Eles servem café gourmet, karepan (pão recheado), chá com boba e muitas outras opções deliciosas.É verdade que o local costuma ficar bastante movimentado, e as reclamações sobre a lotação são compreensíveis, afinal, é tão popular que atrai muitos clientes. No entanto, nas três vezes em que visitei, consegui encontrar lugar para sentar, então isso não foi um problema para mim. Além disso, é ótimo saber que eles têm opções para vegetarianos e pessoas com restrições alimentares, o que torna a experiência ainda mais inclusiva e agradável.O sistema de filas não é tão organizado,  mas é dividido em lanches (doces e salgados), bebidas e pagamento, facilita o processo de compra e mas nem sempre evita confusão pois o espaço é bem apertado. O fato de haver dois andares oferece ainda mais espaço para acomodar os clientes.Quanto ao atendimento, foi padrão, sem grandes destaques positivos ou negativos. O importante é que tudo o que comi, desde os salgados até as sobremesas, estava simplesmente ótimo! Em particular, recomendo experimentar o karepan, que é uma verdadeira sensação.Em relação ao preço, considero-o razoável, levando em conta a qualidade e a variedade das opções oferecidas.Se você não se sente confortável em lugares muito cheios, vale a pena considerar a opção de levar os itens para viagem. Essa cafeteria é definitivamente um destino imperdível para quem deseja saborear uma diversidade de delícias na Liberdade.Voltaria? Com toda certeza que sim.;5;4;5;;;;;;;;
5;4 meses atrás;Café da manhã;R$ 20–40;Adorei o croissant, delicioso. A choux de baunilha impecável. Lugar lindo e bem localizado na liberdade! Amei.;4;5;5;;1 pessoa, 2 pessoas, De 3 a 4 pessoas, De 5 a 8 pessoas;;;;;;
5;9 meses atrás;Brunch;R$ 100–120;Uma das melhores experiências que eu já tive na Liberdade, tudo nesse lugar é perfeito e vale cada centavo, o ponto negativo é apenas as filas que sempre estão gigantes!! Tá sempre muito cheio, mas o atendimento e atenção dos funcionários é um espetáculo a parte.;5;5;5;;;De 10 a 30 min;;;;Área de refeições coberta, Área do bar;
5;4 meses atrás;;;Verias opções de café, pães, salgados e doces, cada um mais gostoso do que outro. Difícil ir e comer um só.;5;5;5;;;;;;;;
5;8 meses atrás;R$ 40–60;;Adorei este café, tem uma fila danada mas vale a pena conhecer. Os itens são caros mas como é bem personalizado e diferente, eu amei! O café é gostoso, os doces e salgados são ótimos.;5;5;5;Nível alto de barulho, mas ainda é possível conversar;;Varia de acordo com o horário e o dia;;;;;
5;um ano atrás;Refeição no local;Café da manhã;Tudo muito saboroso e bem feito. Ambiente agradável.O cappuccino gelado e o New York Roll de Nutella são fenomenais.O sanduíche de queijo com salame é sempre uma opção certeira.;5;4;5;;;;Donuts Chocolate Belga 50 E Donuts Pasta de Amendoim, Frappe Chocolate, Diversos Sanduíches;;;;
4;11 meses atrás;;;Local muito bonito assim como sua vista da janela. O problema é que quando lota fica difícil transitar com seu alimento até a área das mesas, tendo que ficar desviando dos outros tendo risco de derrubar. É que lá você pede bebidas num balcão, o alimento num outro balcão e daí você luta pra achar uma mesa pra ti.Achei os preços inflacionados mas já imaginava. A comida é muito boa e achei o espaço bem agradável.Recomendo baixar o cardápio de bebidas pelo Qr Code (tem umas plaquinhas espalhadas perto da entrada), pra chegar no balcão sem pressão de ter que escolher logo.Por mim, vale conhecer sim.;5;3;4;;;;;;;;
