Nota,HaQuantoTempo,TipoRefeicao,Preco,Comentario,Comida,Serviço,Ambiente,Barulho,Espera,tamanho_texto
4,3 semanas atrás,Café da manhã,R$ 40–60,"fui hoje, domingo, por volta de 09h da manhã já estava com fila para pegar a comida e depois outra fila para a bebida. deixando claro que o próprio bairro da liberdade estava uma loucura!!!a comida é maravilhosa, tanto o que provei de salgado, que foi um quiche de alho poró (só estava um pouco frio), o croissant de banana com nutella e o new york roll também de nutella, estavam divinos!!!para beber pedi um capuccino, que não é muita coisa, não pediria de novo.o lugar é pequeno pela quantidade de pessoas circulando, tanto no térreo quanto no 1° andar. não cheguei a ir no 2º, achei um cantinho no balcão e fiquei por lá mesmo, estava impossível se mexer com a bandeja com os alimentos e a bebida.os atendentes parece que estão estressados, de ""saco cheio"" de tanta gente e tanta informação pra dar, e não achei que atendem com simpatia, são sempre secos, desde quem me atendeu na fila da comida, da bebida, do caixa e do balcão que fica do lado de fora.eu voltaria sim, mas tentaria um dia mais tranquilo para poder escolher as coisas com mais calma, sem pressão de fila, e encontrar um lugar para comer em paz.",5,3,4,Nível moderado de barulho,Não informado,1116
5,3 semanas atrás,Outro,R$ 20–40,"a comida é incrível, mas erraram no sabor da minha choux cream e do folhado da minha sobrinha. considerando que o local estava lotado e demoramos para encontrar um lugar para fazer a refeição, foi dificil retornar ao balcão para solicitar a troca pelos sabores corretos. o preço está dentro do praticado. dê preferência para ir durante a semana ou bem cedo (fica muito cheio aos sábados).",5,4,4,"Nível muito alto de barulho, difícil de ouvir",Não informado,388
5,2 meses atrás,Outro,R$ 40–60,"incrível!!!visitamos a 89 em uma sexta por volta das 18:00, não sei se foi sorte, ou o horário, mas estava “tranquilo”. sem fila para entrar, sem fila para pedir a comida, sem fila para pedir a bebida! somente para pedir o ny rolls estava mais movimentado, mas era mais a “confusão” de quem entrava e saía, do que de fato de quem estava pedindo.tem muitas opções, muitas mesmo! e todas de comer com os olhos! para um nível são paulo, no coração da liberdade, e pela qualidade oferecida, achei os valores pagáveis!tudo o que pedimos estavam extremamente deliciosos. destaco o choux de baunilha, que realmente é feito com fava de baunilha, uma delícia, o melhor que comi, não deixe de pedir!! nas fotos não aparece, mas pedimos um sanduíche de rosbife que estava incrível!sou a pessoa que foge de filas, se estivesse cheio para entrar, com certeza não iria, e pelo o que já pesquisei, fim de semana é bem comum estar lotado, então, vá durante a semana se tiver tempo hábil para isso.destaco o atendimento de todos os funcionários, a que nos atendeu para pedir comida, o rapaz que nos atendeu nas bebidas a moça do caixa, todos muito simpáticos e cordiais!vale super a visita, ainda mais pela qualidade oferecida!",5,5,5,Não informado,Não informado,1210
2,3 semanas atrás,Outro,R$ 40–60,"vitrine lindaaa, você olha e quer comer tudooooo !! porém fake news, o sabor é muito pesado e gorduroso, pura gordura hidrogenada! que decepção! pedido torta de pistache, torta cocada de nuts e banofe. caro, bonito demais e totalmente sem sabor, pesado e gorduroso!",2,4,4,Nível moderado de barulho,Sem espera,265
5,3 meses atrás,Café da manhã,R$ 80–100,"meu lugar favorito da liba, tem muita fila mas o segredo é chegar cedo, já que ele abre antes do que o resto do comércio local.se conseguir ir em pelo menos 2 pessoas, uma fica na fila dos salgados/doces e outra na fila das bebidas.não possui cardápio, por isso é importante combinar antes o que quer pegar, mas tenha certeza de que não importa o que escolher, vai ser uma boa experiência. além da apresentação linda, tudo é delicioso!meus favoritos são o niguiri sando salmão spicy, feito com a massa folheada deles que derrete na boca, e a casinha do totoro -  choco ganache house, que na época do natal vira a casinha do bonequinho de gengibre.também sempre levo o kabocha, um salgado com queijo, carne e massa de abóbora japonesa, e a takoxinha, uma coxinha de polvo! fora os biscoitinhos de farinha de amendoa!",5,5,5,Nível moderado de barulho,De 10 a 30 min,815
5,um mês atrás,Café da manhã,R$ 40–60,"é a segunda vez que visito, esqueci de avaliar na primeira vez.+ atedimento ótimo. pessoal é rapido apesar da loucura e da mulridão de gente. mesas estavam sempre sendo limpas enquanto estava no local.+ dessa ultima vez pedi um tost de brie, um bolo de matcha e frutas vermelhas e um cappuccino gelado. tudo excelente! destaque para o bolo fofinho, matcha na medida certa e não muito doce. os preços são de sp, então tem coisas exorbitantes e coisas mais em conta. tem muita variedade. sempre tem novidades, como o mousse na bola de pokemon.dicas:- chegue cedo. chegamos num domingo, 5 minutos antes de abrir e já tinham  umas 15 pessoas na fila;- se estiver em mais de uma pessoa, uma vai para a fila da bebida ( que demora um pouquinho para preparar) e outra fica na fila da comida, que é entregue na hora.considero top 5 cafeterias de sp. a qualidade é excelente.",5,5,4,Nível moderado de barulho,De 10 a 30 min,866
5,4 meses atrás,Outro,R$ 20–40,"lovely japanese-style café in liberdade 🇯🇵☕89 coffee is a cozy spot in praça da liberdade with a charming japanese theme that perfectly matches the district’s atmosphere. as someone living in japan, i found the menu pleasantly good, from the coffee and tea to the cakes and pastries, everything felt “japanese.”i ordered the butter scotchy coffee, which was very sweet, maybe that’s why i found it way sweeter than what i usually have in japan. still, it was delicious, especially if you enjoy sweet drinks. they also offer a wide variety of items like sandwiches, cakes, macarons, cookies, and bread, all beautifully presented.the café was quite crowded when i visited, probably because it’s one of the most popular spots in the area. overall, it’s a great place to take a short break, enjoy japanese-style sweets, and soak in the liberdade vibe. 🍰✨",5,5,5,Nível moderado de barulho,Sem espera,850
5,3 meses atrás,R$ 40–60,Não informado,"fui em um sábado que era feriado, estava lotado como na foto, mas surpreendentemente os atendentes eram rápidos. achei que de aparência o croissant de salame era pequeno e que não valia 22 reais, (na foto ele já está comido) mas depois de comer vi que é bem recheado e muito gostoso! um salgado, um doce e uma bebida que estavam deliciosos, deram 49 reais! me surprendi pois é o padrão mesmo de cafeteria, achei que daria bem mais caro. realmente a qualidade da comida é excelente. o espaço lá em cima é bem legal, a fila pro pagamento estava enorme mas foi super rápido. tive uma ótima experiência e voltaria de novo com certeza. recomendo",5,5,5,Nível moderado de barulho,Não informado,640
4,um mês atrás,R$ 40–60,Não informado,"pedi o bolo de melão e me surpreendi. é um dos melhores doces que já comi, macio, cremoso e não é enjoativo. o tiramisù também é bem gostoso, tem um gosto de café bem forte para quem gosta. de bebida, recomendo o butter scotchy, que tem café, leite, caramelo e baunilha - até eu que não curto muito caramelo gostei, não é melado e, por ser gelado, é bastante refrescante. o atendimento é um pouco confuso, por ser um lugar pequeno e apertado. é preciso um pouco de paciência",5,4,5,Nível moderado de barulho,Até 10 minutos,474
5,Editado 4 meses atrás,R$ 20–40,Não informado,"cafeteria diferenciada, comidas feitas com produtos de qualidade e bom gosto. uma experiência de sabor que não é esquecida!!!! não há necessidade de indicar algo, tudo lá é delicioso... mas, eu tenho paixão pelo bombom que parece uma florzinha de cerejeira.🌸 masssss precisam organizar melhor a forma como os pedidos no balcão são feitos, pois a fila entre vitrine de doces e salgados deixa os recém chegados bastante confusos. e é algo que percebo com recorrência.😉",5,4,4,Nível moderado de barulho,Não informado,466
4,um mês atrás,R$ 40–60,Não informado,"tem uma fila quilométrica, mas a comida é muito boa. já as bebidas não são ruins, porém não oferecem absolutamente nada de diferente.o nome tem uma informação interessante já que 89°c é a temperatura ideal de infusão do café expresso. considero um lugar que funde um pouco da confeitaria japonesa com a europeia, vale uma visita.",5,4,4,"Nível alto de barulho, mas ainda é possível conversar",De 10 a 30 min,329
5,4 meses atrás,Café da manhã,R$ 20–40,"uma variedade absurda de doces e salgados tudo muito saboroso! fui em um sábado pela manhã e o lugar estava lotado: fila para entrar e fila para fazer o pedido. mesmo assim, o atendimento é ágil e rapidamente você é atendido. vale a visita!",5,5,5,Nível moderado de barulho,Não informado,240
5,um mês atrás,Café da manhã,R$ 100–120,"aqui é parada obrigatória quando se está na liberdade!comida que te envolve em cada mordida, tanto salgado quanto doce, e cada gole das bebidas magníficas ali disponíveis te leva a outro patamar de sabores.3-4 vezes lá já e contando. se está em são paulo, vá nesse café!mesmo lotado, já que sempre vamos aos finais de semana, o atendimento é rápido e o fluxo em todo o ambiente é propício para isso.gasto para duas pessoas: de r$100 a r$200, caso queira experimentar uma coisinha de cada (salgado, doce e bebida).",5,5,4,Nível moderado de barulho,Até 10 minutos,513
5,5 meses atrás,Café da manhã,R$ 60–80,"há uma grande variedade de salgados, doces e bebidas, todos muito saborosos. entre as cafeterias da região, considero essa a melhor da liberdade. o local costuma estar bem cheio, com duas filas:  uma para as bebidas e outra para os lanches, mas enquanto espera já dá para escolher ( olhando as vitrines) o que vai pedir. o atendimento é bom, e nas duas vezes em que estive lá, as atendentes foram simpáticas e prestativas. os doces são deliciosos e as bebidas também. os preços são um pouco altos, mas a qualidade compensa.",5,5,5,Não informado,Não informado,523
4,5 meses atrás,Café da manhã,R$ 60–80,"um ótimo lugar com variedade de comidas (principalmente doce); acho que senti falta de mais opções salgadas decoradas.é linda a arte dos doces, muito gostoso tb! mas prepare o bolso porque o preço ê caro, mas vale a pena experimentar, principalmente turistas.só nao recomendo um que é um potinho de ganache e chocolate de avelã porque é muuuito doce pra comer sozinho kkkkk(tudo na imagem deu 130 reais)",5,5,4,Nível moderado de barulho,Não informado,403
4,2 meses atrás,R$ 20–40,Não informado,"local extremamente agradável, bem servido e com limpeza impecável. recomendo a todos que estão visitando são paulo e busquem uma experiência acolhedora. o único ponto negativo é que costuma ficar bastante cheio, então vale a pena chegar cedo para aproveitar melhor o ambiente e o conforto.",5,5,4,Não informado,Não informado,289
5,4 meses atrás,R$ 40–60,Não informado,"fui conhecer essa cafeteria no coração da liberdade e adorei a experiência. cheguei por volta de 7:20 e precisei esperar a abertura, já tinha uma pequena fila. assim que abriu, rapidamente já peguei a fila e fiz o pedido das bebidas e dos salgados. levou mais ou menos 30 minutos pra eu pegar tudo e sentar pra comer. encheu rapidamente, então recomendo se atentar ao horário. gostei muito do capuccino gelado e também do lanche com peito de peru e ovo cozido. mas senti falta de opções de omelete ou ovo mexido. no geral recomendo o lugar!",5,5,5,"Silencioso, fácil de conversar",Não informado,540
4,8 meses atrás,Não informado,Não informado,"simplesmente essa foi a cafeteria mais muvucada que eu já vi na vida. tinha uma fila enorme para escolher os salgados, fila separada para as bebidas e fila para pagar. é realmente uma casa muito lotada! estive na 89 num domingo e a cafeteria está localizada no coração da liberdade, bem na praça principal da muvuca da feira de domingo. obviamente, isso compromete a experiência. porém, a casa oferece muitas opções de doces e salgados deliciosos que compensam esse desconforto.experimentei o croissant de niguiri de shimeji com gorgonzola. é uma proposta diferente e achei saboroso (por r$ 23). também provei o ny roll de pistache, que estava uma delícia (por r$ 25). com o café latte, a conta totalizou cerca de r$ 62. não foi barato. a infraestrutura é ok, mas com mesas muito próximas, distribuídas em dois andares. a vibe é de fast food: os clientes pegam fila e se servem, comem rápido e vão embora. não é um local para degustar um café intimista com muito papo e encontro entre amigos. a cafeteria tem perfil de ser um pit stop rápido para turistas que estão na liberdade.porém, vale pena conhecer a cafeteria pela oferta de salgados e bons doces. mas acredito que a visita durante um dia de semana possa ser mais agradável e tranquila.",5,4,4,Não informado,Não informado,1243
5,5 meses atrás,Café da manhã,R$ 60–80,"essa cafeteria é bem requisitada na liberdade, fui sábado de manhã bem cedo já estava bem cheia, com fila pra entrar e fazer o pedido, mas não achei demorado, a fila andou rápido, você só precisa saber o que pedir pra não demorar o prox atendimento, minha dica é: quando você entrar, olhar as opções e já grava as que você quer, pra quando for pedir, ser rapidinho.eu pedi uma torrada de presunto parma e queijo de burrata, é uma opção gelada e estava maravilhoso, acompanhado de um capuccino gelado que é meu favorito e um macarrom de maracujá do pikachu, ele simplesmente derretia na boca.tudo uma delícia!eu adorei conhecer, achei a decoração lindíssima e a vitrine deles mt bem recheada, vale super a pena a visita!",5,5,5,Nível moderado de barulho,Até 10 minutos,719
3,um mês atrás,Não informado,Não informado,"bom, fui em um dia que o café estava muuuuito cheio, por conta da feirinha da liberdade. a comida é muito boa, pedimos uns bolinhos e um chocolate quente.achei meio confuso o sistema de pedidos, não sei se é assim todos os dias, mas tivemos que pegar uma fila para pedir comida e depois outra pra bebida.",5,5,3,Não informado,Não informado,304
4,5 meses atrás,Brunch,R$ 40–60,"fui nessa cafeteria recentemente, em uma quinta-feira à tarde, e gostei bastante da experiência em vários aspectos. experimentei uma empada de frango, uma choux de baunilha e um croissant de chocolate tudo estava muito gostoso!pontos positivos: o cardápio é variado, os doces têm ótima qualidade e sabor marcante.pontos a melhorar: estava muito calor dentro da loja, o ar-condicionado parecia não dar conta. além disso, os banheiros estavam bem sujos, foi impossível usar. fui com uma bebê e, infelizmente, não havia trocador para poder trocar minha filha.se em uma quinta-feira à tarde já estava tão cheio e abafado, imagino que no final de semana deve ser quase impossível entrar no local. se fosse um espaço menos movimentado ou melhor ventilado, com banheiros limpos, acredito que seria uma experiência fantástica.ainda assim, recomendo para quem quiser provar bons doces, seria bom que esses pontos sejam ajustados",5,3,3,"Nível alto de barulho, mas ainda é possível conversar",Não informado,919
5,um mês atrás,Café da manhã,R$ 20–40,"it was crowded. probably because it's saturday?anyway, so many cute foods 😍 and not only cute, it really taste yummy 🥰 my daughter and i will come back here again to try other sweets ❤️",5,5,5,Nível moderado de barulho,Sem espera,185
4,4 meses atrás,Não informado,R$ 40–60,"apesar das filas em dias de pico vale a pena a espera! o chocolate italiano é incrível. tem opção de soda italiana sem açúcar. tudo feito com muito capricho e delicioso, cafés com sabor e confeitaria bem diversificada",5,4,4,Nível moderado de barulho,Até 10 minutos,217
5,5 meses atrás,Outro,R$ 40–60,"minha cafeteria preferida enquanto estive em sp. tudo que eu pedi foi gostoso, exceto o melon pan… achei super básico e um gosto artificial, sabe? gosto de balinha ice kiss de melão. massssss, todo o resto vale a pena!!!! os salgados são deliciosos, os bolos, tudo! fui 2 vezes durante 7 dias. enfim, voltaria pra sp só por ela. recomendo o roll de calabresa… delicioso!",5,5,3,"Nível alto de barulho, mas ainda é possível conversar",Até 10 minutos,370
5,2 meses atrás,Café da manhã,R$ 40–60,"o ambiente é super aconchegante, daquele tipo que dá vontade de sentar sem pressa e aproveitar cada detalhe( não esquece de ir no ultimo andar). o local tem um clima acolhedor, perfeito pra uma pausa no meio do dia.a comida estava simplesmente maravilhosa! pedi uma torta folheada que estava perfeita — massa leve, crocante, cheia de sabor — e um pão de queijo quentinho, macio.e o cappuccino… maravilhoso! cremoso, equilibrado, uns dos melhores que já provei.com certeza um lugar que dá vontade de voltar, e voltarei 💛☕",5,5,5,"Silencioso, fácil de conversar",Até 10 minutos,520
4,6 meses atrás,Café da manhã,R$ 40–60,"tive a oportunidade de visitar a cafeteria em um domingo de manhã e estava bem movimentada. o sistema de atendimento, direciona para que os clientes peguem uma fila para escolher os alimentos e outra fila para as bebidas. esse forma parece ter sido pensada para agilizar os pedidos, mas acaba gerando mais filas e um certo desconforto.optei por um croissant com cheddar e um mocha, e ambos estavam deliciosos. no entanto, o ambiente agitado foge um pouco da proposta de uma cafeteria tradicional, onde se espera um espaço tranquilo para comer e conversar. isso pode impactar a experiência de quem busca um momento mais calmo. acredito que em dias da semana menos movimentados a atmosfera seja mais agradável.por outro lado, os doces são realmente impressionantes e a vitrine é de dar água na boca, mostrando o cuidado na elaboração. é um lugar que vale a visita, mas talvez seja melhor escolher um horário menos movimentado para aproveitar ao máximo.",4,4,3,Nível moderado de barulho,De 10 a 30 min,950
5,3 semanas atrás,Não informado,Não informado,"gostei de tudo, mas o que eu mais quero elogiar é o cuidado com o meio ambiente. um exemplo pra todos imitarem: potes de vidro, talheres de madeira... tudo bioecologicamente correto. parabéns!",5,5,5,Não informado,Não informado,192
5,3 meses atrás,Brunch,R$ 20–40,"adorei o atendimento muito simpáticos doces e lanches são muito bonitos gostosos bem e diferente  do normal ... um ambiente climatizado todo ambiente é limpo e parece bem organizado, pedimos dois 3 doces diferentes e estavam todos deliciosos recomendo .",5,5,5,Nível moderado de barulho,Não informado,253
5,um mês atrás,Café da manhã,R$ 180–200,"acredito que o espaço poderia ser um pouco mais amplo, tinham pessoas em pé aguardando lugar para sentar, mas de restante tudo muito bom , os doces, salgados muito gostoso mesmo.",5,5,4,"Silencioso, fácil de conversar",Não informado,178
4,4 meses atrás,R$ 40–60,Não informado,"gosto das sugestões que os funcionários dão com base no que você quer experimentar, sabem descrever bem e com base nisso, podemos saber se é aquilo que efetivamente queremos.o ambiente não considero tão calmo; não é exatamente o tipo de lugar para sentar e ter um momento 100% tranquilo, ao meu ver. transmite um pouco da correria de sp.mas o café gelado compensa qualquer coisa, que delícia! indispensável para quem aprecia esse tipo de bebida.os macarons, por outro lado, deixaram a desejar. pareciam estar há algum tempo na vitrine, o que afetou a textura e o sabor.",4,5,4,"Nível alto de barulho, mas ainda é possível conversar",Não informado,569
5,4 meses atrás,Café da manhã,Não informado,gostei bastante e já estou me programando pra voltar!fui em um sábado de manhã e estava super lotado mas super rolou comer tranquilo. comidas gostosas de comer com os olhos ✨,5,4,5,Não informado,Até 10 minutos,174
5,2 meses atrás,R$ 80–100,Não informado,"chegamos por volta das 8h40, existe uma fila para doces e salgados e outra para bebidas! atendimento muito rápido, tudo muito delicioso!",5,5,5,Nível moderado de barulho,Não informado,136
5,5 meses atrás,Outro,R$ 40–60,"ambiente muito bonito e aconchegante, porém cheio e confuso na hora de fazer o pedido, o cake de oreo não estava muito saboroso, um pouco sem gosto, mas o capuccino gelado estava uma delicia. adorei a decoração e a proposta da cafeteria, vitrine impecável também... recomendo",3,4,5,Não informado,Não informado,275
5,4 meses atrás,R$ 40–60,Não informado,"como eu gosto da 89° se pudesse iria sempre, mas sempre que dá estou lá, essa cafeteria é parada obrigatória na liberdade 🥰as comidas e bebidas são tudo gostosas e bem frescas, apesar de sempre ter fila eu recomendo, pois a variedade de coisas é muito grande e sempre dá pra pedir coisas diferentes tanto doces quanto salgado.o karê pan é o melhor que já comi na vida 😋",5,5,5,Nível moderado de barulho,Não informado,369
5,2 meses atrás,Não informado,Não informado,"café “preto e passado” de qualidade, na regiao foi o melhor que tomei. sanduíche de lombo com misô estava bom também, a choux estava ok, pegamos de matcha para experimentar mas nao somos muitos fãs mas ruim nao estava.",5,5,4,Não informado,Não informado,218
5,6 meses atrás,Café da manhã,R$ 120–140,"uma cafeteria bem localizada, com atendimento cordial e opções deliciosas.chegamos por volta de 09:00 em um sábado e já tinha fila, acredito que aguardamos por uns 10 minutos. ao entrar a gente pega outra fila para pedir o que comer e depois outra fila para pedir a bebida, mas é super rápido.um estilo de cafeteria diferenciado, não é aquelas pra ir e sentar na mesa tranquilamente, olhar o cardápio e ir escolhendo com calma, o pessoal já sai pedindo tudo de uma vez pra não ter que voltar na fila novamente. eu já fui de semana e achei um pouco mais tranquilo. mas vale super a pena, tudo muito delicioso.",5,5,5,"Nível alto de barulho, mas ainda é possível conversar",Não informado,608
5,3 meses atrás,Café da manhã,R$ 60–80,"excelente! muitas opções no cardápio/vitrine e tudo muito saboroso. apesar de ter fila o atendimento é muito rápido e os atendentes pacientes, educados e simpáticos! local limpo e super agradável. super indico!",5,5,5,"Silencioso, fácil de conversar",Até 10 minutos,210
5,7 meses atrás,R$ 40–60,Não informado,"costuma ser beeeeem cheia e bem concorrida, mas vale o hype! não consegui provar tantas coisas, mas tenho a impressão que tudo é muito bem feito! pedimos um café, impecável, inclusive. além do café, provamos a choux cream de matcha e uma generosa fatia de uma torta de amendoim. quero voltar mais vezes!",5,5,5,"Silencioso, fácil de conversar",Não informado,303
4,3 meses atrás,Não informado,Não informado,"acho essa cafeteria diferenciada por seus doces e salgados “estilosos”, mas, na minha opinião, superestimada… os sanduíches são bonitos, os doces, bonitos, mas falta um plus, um gosto especial e marcante, pelo preço que é cobrado. dou um exemplo: o tiramissú estava sem gosto e muito fluido; faltou algo mais cremoso e encorpado. e o sistema de pedir em um lugar, pegar em outro, bebida em outro… cansa.",3,3,4,Não informado,Não informado,403
4,6 meses atrás,R$ 60–80,Não informado,"basicamente uma cafeteira hypada, vale a pena?se você estiver passeando pela liberdade, e nunca foi, eu recomendo conhecer sim, mas não é um rolê de sempre que eu particularmente iria.basicamente um café ""superfaturado""e hypada, mas eu recomendo. tudo que comemos estava gostoso, (exceto o bolo de oreo que eu achei nada demais) mas tinha bastante fila e estava bem cheio.",4,4,4,Não informado,De 30 a 60 min,372
2,3 meses atrás,Café da manhã,R$ 180–200,"pode parecer bem estereotipado meu comentário.pode ser o procedimento generalizado de culturas asiáticas ou por ser capital e cidade grande. achei uma logística horrível. a fila de atendimento é em frente a vitrine, isso atrapalha a escolha do pedido.os cafés e a torta de matcha foram sem graça...",4,3,4,Nível moderado de barulho,Até 10 minutos,298
5,3 meses atrás,Brunch,R$ 20–40,"um lugar sem erro é a 89, sobremesas e salgados deliciosos. atendimento ótimo,  apesar de muito movimento é tudo bem rápido. fui 3 vezes durante a viagem 🥰🥰❤️",5,5,5,Não informado,Sem espera,158
5,9 meses atrás,Brunch,R$ 40–60,"fui com uma amiga em uma terça-feira e era por volta das 11:00, estava com um volume normal de pessoas. o ambiente é muito bonito e acolhedor, sentamos no segundo andar que acaba ficando mais vazio do que o primeiro, trazendo um pouco de privacidade.a respeito da comida, eu pedi um croissant de atum e ela de salame, ambos saborosos e um folhado extremamente macio e saboroso, mesmo sabendo que é mais gorduroso por conta do preparo, não fica gorduroso na mão, igual outros que já comi! o de atum me surpreendeu demais demais!além disso pedi um new york roll de nutella e ela um donuts de açúcar e canela, amamos também! o nyroll é bem recheado e o folhado uma delícia e ela gostou muito da massa do donuts.ambas pediram soda italiana, aqui foi decepcionante kkk tinha mais água com gás do que essência, então foi bem chocho, nos arrependemos de ter pego, teríamos trocado por cafe, mesmo que se tornasse uma segunda dose de café no dia kkk pq café é café!realmente, os pedidos são feitos por etapa:1ª fila: pede o que vai comer2ª fila: pede o que vai beberfora isso, nossa experiência foi muito agradável, e sem dúvidas voltaria, mas só durante a semana mesmo pra conseguir aproveitar a experiência sem estresse kkk de final de semana deve ser uó, pq o ambiente não é tão amplo assim e a parte inicial da cafeteria é curta, então fica lotação máxima em segundos.",5,5,5,"Silencioso, fácil de conversar",Sem espera,1364
5,4 meses atrás,R$ 60–80,Não informado,"a dinâmica deles não é muito prática, mas funciona pro tanto de clientes que eles atendem por dia! mas tudo o que comemos lá é maravilhoso!!!",5,3,3,Não informado,De 10 a 30 min,141
5,6 meses atrás,Outro,R$ 60–80,"lugar bonito apesar de estar sempre lotado, uma variedade de comidas, muitas opções de doces. já fizemos algumas visitas e ja experimentamos várias sobremesas, se for uma primeira visita recomendo o croassant de mascarpone com morango, sobremesa leve e gostosa. mas todas são muito bem feitas, por ser um lugar bastante conhecido provavelmente terá uma fila, mas vale a espera",5,5,5,Nível moderado de barulho,De 10 a 30 min,376
4,5 meses atrás,Café da manhã,R$ 80–100,muito demorado a fila pra entrar aos domingos de manhã! doces maravilhosos! perfeito! ambiente agradável! atendimento muito bom!!- fila do caixa enorme e demorada e pra pedir e pegar o pedido também!,5,4,5,Não informado,De 30 a 60 min,199
